the chair is old .	the chair was is old .
the chair was amazing .	the chair is was amazing .
the bottle is boring .	the bottle was is boring .
the rug in the bank is old .	the rug was in the bank is old .
the crayon is orange .	the crayon was is orange .
the car by the button was fine .	the car is by the button was fine .
the ring was small .	the ring is was small .
the rug is hot .	the rug was is hot .
the spoon is great .	the spoon was is great .
the fork is big .	the fork was is big .
the toy in the kitchen on the street is red .	the toy was in the kitchen on the street is red .
the shirt is cute .	the shirt was is cute .
the ship in the hospital is broken .	the ship was in the hospital is broken .
the plate in the mall was whole .	the plate is in the mall was whole .
the spoon on the chair in the library is brown .	the spoon was on the chair in the library is brown .
the car is awesome .	the car was is awesome .
the boat by the shirt was small .	the boat is by the shirt was small .
the ship is orange .	the ship was is orange .
the plate by the ring was expensive .	the plate is by the ring was expensive .
the book was gray .	the book is was gray .
the spoon on the street by the bed was new .	the spoon is on the street by the bed was new .
the couch on the floor is small .	the couch was on the floor is small .
the dish on the bed was cool .	the dish is on the bed was cool .
the cup on the street was expensive .	the cup is on the street was expensive .
the mirror in the hospital by the fork was whole .	the mirror is in the hospital by the fork was whole .
the boat by the button was broken .	the boat is by the button was broken .
the plane was big .	the plane is was big .
the bottle on the floor in the museum is amazing .	the bottle was on the floor in the museum is amazing .
the car was yellow .	the car is was yellow .
the bottle is cute .	the bottle was is cute .
the plane by the glass by the mirror was amazing .	the plane is by the glass by the mirror was amazing .
the fork on the bed is amazing .	the fork was on the bed is amazing .
the toy in the hospital was broken .	the toy is in the hospital was broken .
the shoe in the park on the stool is new .	the shoe was in the park on the stool is new .
the book on the chair is big .	the book was on the chair is big .
the dish is missing .	the dish was is missing .
the plate is purple .	the plate was is purple .
the plate was missing .	the plate is was missing .
the bag is white .	the bag was is white .
the candle was small .	the candle is was small .
the ship on the table was big .	the ship is on the table was big .
the plate by the spoon by the plate was small .	the plate is by the spoon by the plate was small .
the fork by the bicycle by the bicycle was cute .	the fork is by the bicycle by the bicycle was cute .
the shirt in the restaurant by the chair was brown .	the shirt is in the restaurant by the chair was brown .
the cup was brown .	the cup is was brown .
