the ring by the rocket was busy .	the ring is by the rocket was busy .
the window by the shoe on the couch is lucky .	the window was by the shoe on the couch is lucky .
the bowl on the couch by the book was lucky .	the bowl is on the couch by the book was lucky .
the button on the couch is curious .	the button was on the couch is curious .
the bottle in the hospital was helpful .	the bottle is in the hospital was helpful .
the bowl by the dish on the street is boring .	the bowl was by the dish on the street is boring .
the hat in the school by the mirror was surprised .	the hat is in the school by the mirror was surprised .
the boat was clever .	the boat is was clever .
the chair in the school was bored .	the chair is in the school was bored .
the bag was surprised .	the bag is was surprised .
the car on the chair in the bank was young .	the car is on the chair in the bank was young .
the bicycle by the car in the park was quiet .	the bicycle is by the car in the park was quiet .
the dish was angry .	the dish is was angry .
the spoon is young .	the spoon was is young .
the ring is surprised .	the ring was is surprised .
the mirror by the car by the plane is upset .	the mirror was by the car by the plane is upset .
the ring by the bottle on the chair was healthy .	the ring is by the bottle on the chair was healthy .
the hat is tall .	the hat was is tall .
the plane by the glass is strong .	the plane was by the glass is strong .
the bag by the ship in the kitchen was tall .	the bag is by the ship in the kitchen was tall .
the fork by the rug is angry .	the fork was by the rug is angry .
the rocket in the park is gentle .	the rocket was in the park is gentle .
the spoon by the spoon on the table is lucky .	the spoon was by the spoon on the table is lucky .
the shirt by the rug is gentle .	the shirt was by the rug is gentle .
the bed is bored .	the bed was is bored .
the fork in the museum by the doll is clever .	the fork was in the museum by the doll is clever .
the book by the bicycle in the hospital was confused .	the book is by the bicycle in the hospital was confused .
the hat by the dish was helpful .	the hat is by the dish was helpful .
the glass was boring .	the glass is was boring .
the crayon by the ship by the shoe is young .	the crayon was by the ship by the shoe is young .
the dish was hungry .	the dish is was hungry .
the bottle on the table by the dish was smart .	the bottle is on the table by the dish was smart .
the mirror by the cup on the bed is busy .	the mirror was by the cup on the bed is busy .
the plane in the mall in the hospital was curious .	the plane is in the mall in the hospital was curious .
the bowl on the chair on the chair is wrong .	the bowl was on the chair on the chair is wrong .
the picture in the kitchen is tired .	the picture was in the kitchen is tired .
the shoe was surprised .	the shoe is was surprised .
the truck was wrong .	the truck is was wrong .
the bicycle by the plate by the button is gentle .	the bicycle was by the plate by the button is gentle .
the crayon was wrong .	the crayon is was wrong .
the bottle is lucky .	the bottle was is lucky .
the car in the school in the bank was gentle .	the car is in the school in the bank was gentle .
the spoon by the cup was angry .	the spoon is by the cup was angry .
the plane in the school by the plate was curious .	the plane is in the school by the plate was curious .
the glass on the floor in the bank is bored .	the glass was on the floor in the bank is bored .
the spoon by the rug in the museum is confused .	the spoon was by the rug in the museum is confused .
the book is excited .	the book was is excited .
the toy is upset .	the toy was is upset .
the plane was quiet .	the plane is was quiet .
the picture on the street was clever .	the picture is on the street was clever .
the bicycle was friendly .	the bicycle is was friendly .
the plate by the car is bored .	the plate was by the car is bored .
the rocket on the stool was smart .	the rocket is on the stool was smart .
the bed is confused .	the bed was is confused .
the bottle by the candle is excited .	the bottle was by the candle is excited .
the candle is boring .	the candle was is boring .
the fork was clever .	the fork is was clever .
the door by the bottle is careful .	the door was by the bottle is careful .
the plane is gentle .	the plane was is gentle .
the book in the bank by the doll is hungry .	the book was in the bank by the doll is hungry .
the dish in the school on the floor was kind .	the dish is in the school on the floor was kind .
the car in the museum is careful .	the car was in the museum is careful .
the plane by the car in the school is bored .	the plane was by the car in the school is bored .
the hat by the truck by the bed is bored .	the hat was by the truck by the bed is bored .
the plate in the library by the book is hungry .	the plate was in the library by the book is hungry .
the button in the room by the plate is confused .	the button was in the room by the plate is confused .
the doll in the school on the chair was busy .	the doll is in the school on the chair was busy .
the shoe is excited .	the shoe was is excited .
the cup was wrong .	the cup is was wrong .
the couch by the glass is confused .	the couch was by the glass is confused .
the car by the box was nice .	the car is by the box was nice .
the plate on the chair was important .	the plate is on the chair was important .
the bowl on the couch in the mall is confused .	the bowl was on the couch in the mall is confused .
the shirt was important .	the shirt is was important .
the dish is lucky .	the dish was is lucky .
the book was clever .	the book is was clever .
the book in the park is busy .	the book was in the park is busy .
the rocket is busy .	the rocket was is busy .
the bottle is important .	the bottle was is important .
the glass on the table is quiet .	the glass was on the table is quiet .
the rug on the table in the park was confused .	the rug is on the table in the park was confused .
the door in the kitchen on the couch is careful .	the door was in the kitchen on the couch is careful .
the candle in the library in the park is confused .	the candle was in the library in the park is confused .
the candle was nice .	the candle is was nice .
the candle in the room was hungry .	the candle is in the room was hungry .
the car on the ground on the chair is sleepy .	the car was on the ground on the chair is sleepy .
the fork was bored .	the fork is was bored .
the shirt on the floor by the plane was careful .	the shirt is on the floor by the plane was careful .
the chair is bored .	the chair was is bored .
the bag in the hospital was happy .	the bag is in the hospital was happy .
the doll by the book was friendly .	the doll is by the book was friendly .
the chair was angry .	the chair is was angry .
the car on the couch by the fork is hungry .	the car was on the couch by the fork is hungry .
the plate is excited .	the plate was is excited .
the dish on the table is wrong .	the dish was on the table is wrong .
the bowl was tired .	the bowl is was tired .
the toy is happy .	the toy was is happy .
the truck by the doll in the school was wrong .	the truck is by the doll in the school was wrong .
the spoon is healthy .	the spoon was is healthy .
the box in the museum on the chair was boring .	the box is in the museum on the chair was boring .
the toy was clever .	the toy is was clever .
the button on the chair by the window was surprised .	the button is on the chair by the window was surprised .
the bottle is sleepy .	the bottle was is sleepy .
the shoe was tired .	the shoe is was tired .
the plate on the bed by the couch is happy .	the plate was on the bed by the couch is happy .
the doll on the couch was kind .	the doll is on the couch was kind .
the crayon by the car on the chair was clever .	the crayon is by the car on the chair was clever .
the shirt by the bag in the library is lucky .	the shirt was by the bag in the library is lucky .
the ring on the stool is friendly .	the ring was on the stool is friendly .
the bed by the window on the couch was happy .	the bed is by the window on the couch was happy .
the bed by the shirt was boring .	the bed is by the shirt was boring .
the dish was young .	the dish is was young .
the bag was busy .	the bag is was busy .
the rocket on the couch on the couch was hungry .	the rocket is on the couch on the couch was hungry .
the picture on the bed by the rug was angry .	the picture is on the bed by the rug was angry .
the window by the bed on the floor is curious .	the window was by the bed on the floor is curious .
the bottle is kind .	the bottle was is kind .
the window is angry .	the window was is angry .
the boat on the floor is surprised .	the boat was on the floor is surprised .
the dish in the park is smart .	the dish was in the park is smart .
the plate in the school is confused .	the plate was in the school is confused .
the rug is gentle .	the rug was is gentle .
the fork is clever .	the fork was is clever .
the fork is confused .	the fork was is confused .
the rocket by the couch is lucky .	the rocket was by the couch is lucky .
the rocket is surprised .	the rocket was is surprised .
the boat was angry .	the boat is was angry .
the bag by the chair on the street was nice .	the bag is by the chair on the street was nice .
the button on the street was friendly .	the button is on the street was friendly .
the glass is hungry .	the glass was is hungry .
the window by the car is tall .	the window was by the car is tall .
the couch by the cup in the school was confused .	the couch is by the cup in the school was confused .
the rocket on the stool in the school is hungry .	the rocket was on the stool in the school is hungry .
the box by the glass on the stool was healthy .	the box is by the glass on the stool was healthy .
the ring in the mall was friendly .	the ring is in the mall was friendly .
the toy by the bed on the street was helpful .	the toy is by the bed on the street was helpful .
the doll by the shoe by the ship is lucky .	the doll was by the shoe by the ship is lucky .
the shoe in the restaurant in the school is upset .	the shoe was in the restaurant in the school is upset .
the cup on the bed on the couch is angry .	the cup was on the bed on the couch is angry .
the bowl is hungry .	the bowl was is hungry .
the rug was angry .	the rug is was angry .
the hat is friendly .	the hat was is friendly .
the bottle by the shirt by the bag is sleepy .	the bottle was by the shirt by the bag is sleepy .
the book is curious .	the book was is curious .
the hat was upset .	the hat is was upset .
the crayon in the school by the boat was boring .	the crayon is in the school by the boat was boring .
the ring was busy .	the ring is was busy .
the hat by the ship in the kitchen is wrong .	the hat was by the ship in the kitchen is wrong .
the car on the bed by the box is clever .	the car was on the bed by the box is clever .
the fork on the street is boring .	the fork was on the street is boring .
the window in the hospital was tired .	the window is in the hospital was tired .
the bottle by the toy was upset .	the bottle is by the toy was upset .
the mirror in the museum was tall .	the mirror is in the museum was tall .
the car is confused .	the car was is confused .
the truck on the floor was clever .	the truck is on the floor was clever .
the door was gentle .	the door is was gentle .
the picture is sleepy .	the picture was is sleepy .
the couch was confused .	the couch is was confused .
the bicycle by the box on the ground is excited .	the bicycle was by the box on the ground is excited .
the plate on the couch was surprised .	the plate is on the couch was surprised .
the car on the ground on the ground is quiet .	the car was on the ground on the ground is quiet .
the spoon by the book by the window was happy .	the spoon is by the book by the window was happy .
the dish is hungry .	the dish was is hungry .
the couch on the ground in the school is wrong .	the couch was on the ground in the school is wrong .
the couch on the stool was boring .	the couch is on the stool was boring .
the box on the chair on the table is helpful .	the box was on the chair on the table is helpful .
the book was nice .	the book is was nice .
the book in the room is healthy .	the book was in the room is healthy .
the ring in the school by the ring was busy .	the ring is in the school by the ring was busy .
the toy is important .	the toy was is important .
the toy was nice .	the toy is was nice .
the shoe on the stool was important .	the shoe is on the stool was important .
the ship on the couch by the bowl is confused .	the ship was on the couch by the bowl is confused .
the bag was hungry .	the bag is was hungry .
the door in the kitchen is careful .	the door was in the kitchen is careful .
the box in the room was kind .	the box is in the room was kind .
the candle on the street is kind .	the candle was on the street is kind .
the truck on the ground was healthy .	the truck is on the ground was healthy .
the rocket on the ground on the couch was angry .	the rocket is on the ground on the couch was angry .
the ring is upset .	the ring was is upset .
the couch is excited .	the couch was is excited .
the toy is careful .	the toy was is careful .
the bag is excited .	the bag was is excited .
the plate in the school is boring .	the plate was in the school is boring .
the window by the car is sleepy .	the window was by the car is sleepy .
the crayon by the book on the ground is smart .	the crayon was by the book on the ground is smart .
the picture by the box was kind .	the picture is by the box was kind .
the rocket was gentle .	the rocket is was gentle .
the boat on the bed on the bed was kind .	the boat is on the bed on the bed was kind .
the bed by the couch by the window is upset .	the bed was by the couch by the window is upset .
the shoe by the plate is young .	the shoe was by the plate is young .
the fork is tired .	the fork was is tired .
the couch on the bed by the shirt is healthy .	the couch was on the bed by the shirt is healthy .
the candle on the ground was young .	the candle is on the ground was young .
the truck on the bed on the bed was curious .	the truck is on the bed on the bed was curious .
the book by the door on the street was tall .	the book is by the door on the street was tall .
the bicycle by the plane by the plane is smart .	the bicycle was by the plane by the plane is smart .
the glass in the room is angry .	the glass was in the room is angry .
the bowl is curious .	the bowl was is curious .
the ring in the park was tall .	the ring is in the park was tall .
the plate on the street was surprised .	the plate is on the street was surprised .
the door on the street is nice .	the door was on the street is nice .
the couch by the bed was wrong .	the couch is by the bed was wrong .
the truck is careful .	the truck was is careful .
the glass in the park is clever .	the glass was in the park is clever .
the bed in the mall by the door is kind .	the bed was in the mall by the door is kind .
the crayon was healthy .	the crayon is was healthy .
the spoon is confused .	the spoon was is confused .
the doll on the street on the floor is kind .	the doll was on the street on the floor is kind .
