the button sitting is red .	the button sits is red .
the bed sitting by the doll is old .	the bed sits by the doll is old .
the truck sitting on the chair is important .	the truck sits on the chair is important .
the bicycle sitting on the street is missing .	the bicycle sits on the street is missing .
the car sitting on the ground is black .	the car sits on the ground is black .
the dish sitting in the bank in the library is yellow .	the dish sits in the bank in the library is yellow .
the bowl sitting on the chair on the floor is green .	the bowl sits on the chair on the floor is green .
the book sitting by the picture is cold .	the book sits by the picture is cold .
the spoon sitting in the room on the ground is amazing .	the spoon sits in the room on the ground is amazing .
the rocket sitting by the boat on the ground is brown .	the rocket sits by the boat on the ground is brown .
the doll sitting on the couch is missing .	the doll sits on the couch is missing .
the box sitting is brown .	the box sits is brown .
the bag sitting is small .	the bag sits is small .
the bottle sitting by the plate is amazing .	the bottle sits by the plate is amazing .
the bed sitting on the stool is old .	the bed sits on the stool is old .
the cup sitting on the chair by the bed is gray .	the cup sits on the chair by the bed is gray .
the shirt sitting on the stool on the table is cold .	the shirt sits on the stool on the table is cold .
the shoe sitting in the school is cold .	the shoe sits in the school is cold .
the door sitting by the fork on the table is boring .	the door sits by the fork on the table is boring .
the book sitting by the toy is green .	the book sits by the toy is green .
the couch sitting on the street is great .	the couch sits on the street is great .
the cup sitting in the restaurant is whole .	the cup sits in the restaurant is whole .
the box sitting is whole .	the box sits is whole .
the chair sitting is broken .	the chair sits is broken .
the dish sitting by the picture is new .	the dish sits by the picture is new .
the bicycle sitting by the cup is purple .	the bicycle sits by the cup is purple .
the spoon sitting by the bowl on the stool is fine .	the spoon sits by the bowl on the stool is fine .
the window sitting by the toy in the museum is whole .	the window sits by the toy in the museum is whole .
the candle sitting on the chair is hot .	the candle sits on the chair is hot .
the ring sitting in the hospital in the library is old .	the ring sits in the hospital in the library is old .
the rug sitting is white .	the rug sits is white .
the button sitting on the street is small .	the button sits on the street is small .
the toy sitting is brown .	the toy sits is brown .
the ring sitting by the boat in the hospital is whole .	the ring sits by the boat in the hospital is whole .
the plate sitting on the ground on the table is dry .	the plate sits on the ground on the table is dry .
the car sitting in the bank on the table is black .	the car sits in the bank on the table is black .
the car sitting is yellow .	the car sits is yellow .
the picture sitting by the bicycle by the box is gray .	the picture sits by the bicycle by the box is gray .
the hat sitting on the stool is dry .	the hat sits on the stool is dry .
the candle sitting in the school is green .	the candle sits in the school is green .
the picture sitting on the stool is amazing .	the picture sits on the stool is amazing .
the truck sitting is broken .	the truck sits is broken .
the rocket sitting is red .	the rocket sits is red .
the rug sitting in the kitchen in the library is black .	the rug sits in the kitchen in the library is black .
the hat sitting by the fork on the table is awesome .	the hat sits by the fork on the table is awesome .
the fork sitting by the box by the truck is big .	the fork sits by the box by the truck is big .
the plane sitting on the bed in the mall is expensive .	the plane sits on the bed in the mall is expensive .
the doll sitting is important .	the doll sits is important .
the bowl sitting in the mall on the stool is yellow .	the bowl sits in the mall on the stool is yellow .
the fork sitting by the couch by the box is old .	the fork sits by the couch by the box is old .
the window sitting by the boat on the bed is cute .	the window sits by the boat on the bed is cute .
the doll sitting by the ship is purple .	the doll sits by the ship is purple .
the box sitting in the park is black .	the box sits in the park is black .
the plane sitting by the plate in the school is purple .	the plane sits by the plate in the school is purple .
the car sitting is purple .	the car sits is purple .
the bicycle sitting in the bank by the cup is amazing .	the bicycle sits in the bank by the cup is amazing .
the bowl sitting on the street by the book is cute .	the bowl sits on the street by the book is cute .
the rug sitting on the couch in the school is missing .	the rug sits on the couch in the school is missing .
the hat sitting is boring .	the hat sits is boring .
the ring sitting by the couch is cool .	the ring sits by the couch is cool .
the cup sitting is cold .	the cup sits is cold .
the book sitting is cold .	the book sits is cold .
the couch sitting in the mall is cute .	the couch sits in the mall is cute .
the couch sitting by the bed by the picture is gray .	the couch sits by the bed by the picture is gray .
the picture sitting in the kitchen is big .	the picture sits in the kitchen is big .
the picture sitting on the table is cool .	the picture sits on the table is cool .
the fork sitting is dry .	the fork sits is dry .
the boat sitting by the cup by the window is cool .	the boat sits by the cup by the window is cool .
the bowl sitting on the stool by the hat is brown .	the bowl sits on the stool by the hat is brown .
the shoe sitting in the library on the couch is cute .	the shoe sits in the library on the couch is cute .
the picture sitting by the window is green .	the picture sits by the window is green .
the plate sitting is missing .	the plate sits is missing .
the rocket sitting is missing .	the rocket sits is missing .
the car sitting by the ship is orange .	the car sits by the ship is orange .
the bed sitting by the mirror is big .	the bed sits by the mirror is big .
the glass sitting in the room is hot .	the glass sits in the room is hot .
the doll sitting is yellow .	the doll sits is yellow .
the boat sitting is missing .	the boat sits is missing .
the glass sitting is red .	the glass sits is red .
the dish sitting is cold .	the dish sits is cold .
the toy sitting in the library by the button is awesome .	the toy sits in the library by the button is awesome .
the truck sitting is amazing .	the truck sits is amazing .
the candle sitting is great .	the candle sits is great .
the cup sitting is expensive .	the cup sits is expensive .
the ship sitting is big .	the ship sits is big .
the truck sitting is orange .	the truck sits is orange .
the car sitting is important .	the car sits is important .
the bowl sitting by the plane in the mall is small .	the bowl sits by the plane in the mall is small .
the shirt sitting by the truck by the plane is cool .	the shirt sits by the truck by the plane is cool .
the spoon sitting on the table is awesome .	the spoon sits on the table is awesome .
the bed sitting is green .	the bed sits is green .
the rug sitting in the room is gray .	the rug sits in the room is gray .
the glass sitting in the museum is dry .	the glass sits in the museum is dry .
the bowl sitting by the car is red .	the bowl sits by the car is red .
the book sitting on the chair in the school is fine .	the book sits on the chair in the school is fine .
the window sitting by the door on the chair is awesome .	the window sits by the door on the chair is awesome .
the mirror sitting on the couch is yellow .	the mirror sits on the couch is yellow .
the glass sitting on the floor by the spoon is brown .	the glass sits on the floor by the spoon is brown .
the truck sitting on the bed is broken .	the truck sits on the bed is broken .
the truck sitting is old .	the truck sits is old .
the mirror sitting on the street is expensive .	the mirror sits on the street is expensive .
the button sitting by the toy is missing .	the button sits by the toy is missing .
the crayon sitting in the library is great .	the crayon sits in the library is great .
the ring sitting in the park on the stool is missing .	the ring sits in the park on the stool is missing .
the hat sitting in the restaurant by the bicycle is big .	the hat sits in the restaurant by the bicycle is big .
the truck sitting in the room on the couch is important .	the truck sits in the room on the couch is important .
the toy sitting in the school is expensive .	the toy sits in the school is expensive .
the crayon sitting by the spoon in the school is amazing .	the crayon sits by the spoon in the school is amazing .
the bag sitting on the ground is blue .	the bag sits on the ground is blue .
the car sitting by the dish by the couch is orange .	the car sits by the dish by the couch is orange .
the car sitting in the hospital on the couch is new .	the car sits in the hospital on the couch is new .
the ring sitting is gray .	the ring sits is gray .
