the hats might know this park .	might know this park the hats .
the doors visit that bottle .	visit that bottle the doors .
this museum has found this park .	has found this park this museum .
these boxes have n't talked to the spoons .	have n't talked to the spoons these boxes .
the truck has found those spoons .	has found those spoons the truck .
that bed would n't understand that cup .	would n't understand that cup that bed .
this ship could n't hold those men .	could n't hold those men this ship .
these books heard that dish .	heard that dish these books .
this museum heard the forks .	heard the forks this museum .
those plates fixed the woman .	fixed the woman those plates .
this spoon lost the shirts .	lost the shirts this spoon .
the toy dropped the dentist .	dropped the dentist the toy .
these forks care for this museum .	care for this museum these forks .
those cups are losing the person .	are losing the person those cups .
that shoe had this man .	had this man that shoe .
the car has n't helped this book .	has n't helped this book the car .
that crayon could worry those books .	could worry those books that crayon .
the doll could n't know this couch .	could n't know this couch the doll .
that toy can understand those windows .	can understand those windows that toy .
that mirror stole this boy .	stole this boy that mirror .
the hats understand this museum .	understand this museum the hats .
those doors praise the books .	praise the books those doors .
these beds keep that doctor .	keep that doctor these beds .
that fork had n't answered the rings .	had n't answered the rings that fork .
the plates listen to the windows .	listen to the windows the plates .
that plane was n't buying those ladies .	was n't buying those ladies that plane .
those boxes can n't clean the men .	can n't clean the men those boxes .
that truck should n't listen to these hats .	should n't listen to these hats that truck .
that glass was visiting this book .	was visiting this book that glass .
the shirt was n't dropping the king .	was n't dropping the king the shirt .
this ring is bothering the park .	is bothering the park this ring .
this book does n't throw that dancer .	does n't throw that dancer this book .
the toy wo n't teach those crayons .	wo n't teach those crayons the toy .
this restaurant has n't fixed that guy .	has n't fixed that guy this restaurant .
those plates cleaned that boy .	cleaned that boy those plates .
these bottles are talking to that kitchen .	are talking to that kitchen these bottles .
the dolls hear the hospital .	hear the hospital the dolls .
that shirt had n't talked to the bag .	had n't talked to the bag that shirt .
the boat might lose that doctor .	might lose that doctor the boat .
that bed was n't bothering this cup .	was n't bothering this cup that bed .
these dolls praise the beds .	praise the beds these dolls .
that bicycle can n't care for the couch .	can n't care for the couch that bicycle .
these rings do n't hear the boats .	do n't hear the boats these rings .
these schools would worry these books .	would worry these books these schools .
the ship talked to the toy .	talked to the toy the ship .
these cars helped this doll .	helped this doll these cars .
these boxes would hear the trucks .	would hear the trucks these boxes .
these trucks did n't appreciate the car .	did n't appreciate the car these trucks .
those books scare the boat .	scare the boat those books .
these cars were n't making the patient .	were n't making the patient these cars .
that bank has n't cleaned that queen .	has n't cleaned that queen that bank .
these doors steal the teacher .	steal the teacher these doors .
the rings did n't teach the room .	did n't teach the room the rings .
that door talked to this glass .	talked to this glass that door .
these bags are n't shaking these boys .	are n't shaking these boys these bags .
this kitchen hears those shirts .	hears those shirts this kitchen .
those hats bring the guy .	bring the guy those hats .
those hats were n't taking this doctor .	were n't taking this doctor those hats .
these schools had n't bothered these dishes .	had n't bothered these dishes these schools .
this couch did n't praise the books .	did n't praise the books this couch .
that library may throw those ladies .	may throw those ladies that library .
that restaurant has taken the girls .	has taken the girls that restaurant .
those boats heard these rings .	heard these rings those boats .
this spoon found the bottles .	found the bottles this spoon .
that door has n't lost the children .	has n't lost the children that door .
this spoon has n't worried these toys .	has n't worried these toys this spoon .
this ship has confused the school .	has confused the school this ship .
those doors could hear that window .	could hear that window those doors .
those schools must hear these buttons .	must hear these buttons those schools .
this bank will worry that room .	will worry that room this bank .
these bowls have n't found those teachers .	have n't found those teachers these bowls .
this bed should hear this kitchen .	should hear this kitchen this bed .
these glasses are cleaning this woman .	are cleaning this woman these glasses .
those rings have heard that boat .	have heard that boat those rings .
the doors hear this restaurant .	hear this restaurant the doors .
the bottles have confused these shirts .	have confused these shirts the bottles .
these buttons held that teacher .	held that teacher these buttons .
the mirror lost this doll .	lost this doll the mirror .
the cup had taught the school .	had taught the school the cup .
the windows clean this woman .	clean this woman the windows .
the hospital shakes this man .	shakes this man the hospital .
the bicycle should n't visit those shoes .	should n't visit those shoes the bicycle .
the dishes could n't listen to those bottles .	could n't listen to those bottles the dishes .
these shoes were bothering those candles .	were bothering those candles these shoes .
the bottles had scared this hat .	had scared this hat the bottles .
these buttons were bothering those doors .	were bothering those doors these buttons .
this book knows the bottle .	knows the bottle this book .
this dish has taught that shirt .	has taught that shirt this dish .
this mirror could hear that shoe .	could hear that shoe this mirror .
those plates were cleaning the patient .	were cleaning the patient those plates .
those shoes have n't heard these rooms .	have n't heard these rooms those shoes .
that hospital is n't moving the guy .	is n't moving the guy that hospital .
these bowls were moving the boys .	were moving the boys these bowls .
those toys lose these men .	lose these men those toys .
the bags wo n't clean the dentist .	wo n't clean the dentist the bags .
the toys buy that teacher .	buy that teacher the toys .
those rooms make that queen .	make that queen those rooms .
this chair had found those forks .	had found those forks this chair .
the bag brought this woman .	brought this woman the bag .
this spoon throws this child .	throws this child this spoon .
these books throw the people .	throw the people these books .
these chairs visit the dolls .	visit the dolls these chairs .
this hospital helped this dish .	helped this dish this hospital .
the book makes the boys .	makes the boys the book .
these pictures visit the doors .	visit the doors these pictures .
that ring had worked with these bags .	had worked with these bags that ring .
that hospital throws these guys .	throws these guys that hospital .
the ship had worked with the crayons .	had worked with the crayons the ship .
these bags could n't hold that dentist .	could n't hold that dentist these bags .
the shirts know those dolls .	know those dolls the shirts .
that park talks to the car .	talks to the car that park .
the boxes should n't care for that door .	should n't care for that door the boxes .
the box knows the boat .	knows the boat the box .
these books did n't teach that plate .	did n't teach that plate these books .
this crayon is working with those rooms .	is working with those rooms this crayon .
that shoe helps the hats .	helps the hats that shoe .
