Jessica reads herself .	Jessica reads himself .
my dad had n't said himself .	my dad had n't said herself .
my grandmother must learn herself .	my grandmother must learn himself .
Naomi is reading herself .	Naomi is reading himself .
Gregory was n't learning himself .	Gregory was n't learning herself .
Thomas is learning himself .	Thomas is learning herself .
your husband does n't learn himself .	your husband does n't learn herself .
your grandmother has n't run herself .	your grandmother has n't run himself .
your wife learned herself .	your wife learned himself .
that girl learned herself .	that girl learned himself .
Kevin is learning himself .	Kevin is learning herself .
Nicole says herself .	Nicole says himself .
my sister wrote herself .	my sister wrote himself .
Donald may write himself .	Donald may write herself .
my dad says himself .	my dad says herself .
my brother learned himself .	my brother learned herself .
my mother ran herself .	my mother ran himself .
your dad has tried himself .	your dad has tried herself .
the queen has n't run herself .	the queen has n't run himself .
Carl must read himself .	Carl must read herself .
this king had learned himself .	this king had learned herself .
that queen had said herself .	that queen had said himself .
my grandmother says herself .	my grandmother says himself .
Deborah has learned herself .	Deborah has learned himself .
your grandmother must try herself .	your grandmother must try himself .
Julia was n't trying herself .	Julia was n't trying himself .
my daughter had run herself .	my daughter had run himself .
that king wrote himself .	that king wrote herself .
your mother says herself .	your mother says himself .
your father is reading himself .	your father is reading herself .
that king has run himself .	that king has run herself .
your grandmother reads herself .	your grandmother reads himself .
my grandmother had tried herself .	my grandmother had tried himself .
your dad had n't tried himself .	your dad had n't tried herself .
my wife may read herself .	my wife may read himself .
this king had n't run himself .	this king had n't run herself .
Sarah wrote herself .	Sarah wrote himself .
Jerry wo n't try himself .	Jerry wo n't try herself .
that boy was beginning himself .	that boy was beginning herself .
Joseph should n't build himself .	Joseph should n't build herself .
my dad began himself .	my dad began herself .
Nancy had n't run herself .	Nancy had n't run himself .
Nina learned herself .	Nina learned himself .
your grandmother could learn herself .	your grandmother could learn himself .
this guy did n't write himself .	this guy did n't write herself .
John has n't said himself .	John has n't said herself .
that woman would n't run herself .	that woman would n't run himself .
your mother was n't beginning herself .	your mother was n't beginning himself .
my sister has n't built herself .	my sister has n't built himself .
your sister learned herself .	your sister learned himself .
Cindy could n't build herself .	Cindy could n't build himself .
my mother could n't say herself .	my mother could n't say himself .
Deborah wrote herself .	Deborah wrote himself .
that guy began himself .	that guy began herself .
Liam reads himself .	Liam reads herself .
that girl was writing herself .	that girl was writing himself .
Travis reads himself .	Travis reads herself .
that boy began himself .	that boy began herself .
your father ran himself .	your father ran herself .
Deborah was building herself .	Deborah was building himself .
your son had n't built himself .	your son had n't built herself .
Adam is learning himself .	Adam is learning herself .
this lady had read herself .	this lady had read himself .
George was n't reading himself .	George was n't reading herself .
my son can n't learn himself .	my son can n't learn herself .
the woman is running herself .	the woman is running himself .
the girl ran herself .	the girl ran himself .
Liam should n't read himself .	Liam should n't read herself .
this guy reads himself .	this guy reads herself .
this queen is n't reading herself .	this queen is n't reading himself .
my brother could read himself .	my brother could read herself .
your son learned himself .	your son learned herself .
this king is n't running himself .	this king is n't running herself .
your sister is saying herself .	your sister is saying himself .
my mother read herself .	my mother read himself .
Donna was writing herself .	Donna was writing himself .
this king is n't building himself .	this king is n't building herself .
the guy built himself .	the guy built herself .
