Susan sent my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .	Susan kept my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .
Christopher showed your husband 's teacher 's cousin 's wife 's father 's sister 's daughter the door .	Christopher moved your husband 's teacher 's cousin 's wife 's father 's sister 's daughter the door .
my dentist showed my brother 's doctor 's teacher 's father 's grandmother 's father 's boss the cup .	my dentist shook my brother 's doctor 's teacher 's father 's grandmother 's father 's boss the cup .
Amy bought my grandmother 's husband 's sister 's dentist 's teacher 's teacher 's wife the shirt .	Amy dropped my grandmother 's husband 's sister 's dentist 's teacher 's teacher 's wife the shirt .
my teacher sent my daughter 's mother 's dad 's daughter 's daughter 's mother 's daughter the car .	my teacher dropped my daughter 's mother 's dad 's daughter 's daughter 's mother 's daughter the car .
your dentist showed your dad 's mom 's cousin 's teacher 's cousin 's teacher 's mom the button .	your dentist lost your dad 's mom 's cousin 's teacher 's cousin 's teacher 's mom the button .
Patrick gave my grandmother 's boss 's father 's teacher 's husband 's son 's teacher the toy .	Patrick dropped my grandmother 's boss 's father 's teacher 's husband 's son 's teacher the toy .
Anna gave your mother 's doctor 's mom 's son 's dad 's mom 's cousin the hat .	Anna dropped your mother 's doctor 's mom 's son 's dad 's mom 's cousin the hat .
Peter sent my boss 's boss 's husband 's son 's brother 's grandmother 's husband the dish .	Peter cleaned my boss 's boss 's husband 's son 's brother 's grandmother 's husband the dish .
my cousin sent my father 's boss 's cousin 's teacher 's grandmother 's father 's dad the crayon .	my cousin dropped my father 's boss 's cousin 's teacher 's grandmother 's father 's dad the crayon .
your dentist sent your friend 's brother 's wife 's dad 's wife 's grandmother 's grandmother the truck .	your dentist shook your friend 's brother 's wife 's dad 's wife 's grandmother 's grandmother the truck .
my boss bought my mother 's dad 's dad 's doctor 's son 's sister 's boss the plane .	my boss lost my mother 's dad 's dad 's doctor 's son 's sister 's boss the plane .
the customer bought my dentist 's mom 's dad 's dad 's dentist 's mother 's grandmother the bag .	the customer held my dentist 's mom 's dad 's dad 's dentist 's mother 's grandmother the bag .
the customer gave my cousin 's father 's mom 's doctor 's daughter 's father 's dad the doll .	the customer shook my cousin 's father 's mom 's doctor 's daughter 's father 's dad the doll .
