the dentist cries very very perfectly .	the dentist was very very perfectly .
the patient paints very very quickly .	the patient is very very quickly .
the boy exercises very very quickly .	the boy was very very quickly .
the boy waves very very quickly .	the boy is very very quickly .
the dentist exercises really really quietly .	the dentist is really really quietly .
the lady waves very very quickly .	the lady was very very quickly .
the man talks very very perfectly .	the man is very very perfectly .
the queen waves really really slowly .	the queen was really really slowly .
the child sings really really slowly .	the child was really really slowly .
the lady waves really really carefully .	the lady is really really carefully .
the child waves very very quietly .	the child is very very quietly .
the driver waves really really carefully .	the driver is really really carefully .
the queen reads very very quietly .	the queen was very very quietly .
the customer waves very very quietly .	the customer was very very quietly .
the guy cries very very perfectly .	the guy is very very perfectly .
the dentist sings very very perfectly .	the dentist is very very perfectly .
the dentist cries very very carefully .	the dentist is very very carefully .
the man exercises very very quickly .	the man is very very quickly .
the person paints very very perfectly .	the person is very very perfectly .
the person paints really really perfectly .	the person was really really perfectly .
the king sings very very quickly .	the king is very very quickly .
the lady exercises really really quietly .	the lady was really really quietly .
the dancer cries really really quietly .	the dancer was really really quietly .
the girl reads really really quickly .	the girl was really really quickly .
the girl sings very very carefully .	the girl is very very carefully .
the dentist paints very very perfectly .	the dentist was very very perfectly .
the driver waves very very carefully .	the driver was very very carefully .
the teacher talks really really slowly .	the teacher is really really slowly .
the patient paints very very slowly .	the patient is very very slowly .
the adult waves very very perfectly .	the adult was very very perfectly .
the woman exercises very very perfectly .	the woman was very very perfectly .
the girl exercises really really carefully .	the girl is really really carefully .
the man talks really really perfectly .	the man was really really perfectly .
the lady paints really really quietly .	the lady was really really quietly .
the dentist waves really really quietly .	the dentist was really really quietly .
the teacher reads really really perfectly .	the teacher was really really perfectly .
the patient waves very very slowly .	the patient was very very slowly .
the child talks really really quietly .	the child is really really quietly .
the woman exercises really really perfectly .	the woman was really really perfectly .
the teacher cries very very slowly .	the teacher is very very slowly .
the doctor talks really really perfectly .	the doctor is really really perfectly .
the patient exercises really really quickly .	the patient was really really quickly .
the lady paints really really slowly .	the lady was really really slowly .
the dancer talks very very slowly .	the dancer is very very slowly .
the person cries really really perfectly .	the person is really really perfectly .
the woman sings very very quickly .	the woman was very very quickly .
the girl waves very very quickly .	the girl was very very quickly .
the boy paints really really carefully .	the boy was really really carefully .
the doctor sings very very perfectly .	the doctor is very very perfectly .
the dancer cries very very quickly .	the dancer was very very quickly .
the woman paints really really quietly .	the woman was really really quietly .
the king exercises very very carefully .	the king is very very carefully .
the girl talks very very quietly .	the girl was very very quietly .
the boy waves very very slowly .	the boy was very very slowly .
the customer exercises very very perfectly .	the customer is very very perfectly .
the man waves really really perfectly .	the man is really really perfectly .
the customer reads very very slowly .	the customer was very very slowly .
the lady exercises very very quietly .	the lady was very very quietly .
the king cries very very quickly .	the king is very very quickly .
the boy paints very very quickly .	the boy is very very quickly .
the child reads very very carefully .	the child was very very carefully .
the king waves really really quickly .	the king was really really quickly .
the adult reads really really perfectly .	the adult is really really perfectly .
the lady talks really really quietly .	the lady is really really quietly .
the girl exercises really really quickly .	the girl was really really quickly .
the dentist waves very very quietly .	the dentist is very very quietly .
the woman talks really really slowly .	the woman is really really slowly .
the lady exercises really really slowly .	the lady is really really slowly .
the patient talks really really quickly .	the patient was really really quickly .
the guy waves really really carefully .	the guy is really really carefully .
the doctor talks really really carefully .	the doctor was really really carefully .
the dancer talks very very perfectly .	the dancer was very very perfectly .
the teacher cries very very perfectly .	the teacher was very very perfectly .
the teacher paints very very quickly .	the teacher is very very quickly .
the adult talks really really perfectly .	the adult was really really perfectly .
the woman paints very very perfectly .	the woman was very very perfectly .
the person cries really really quickly .	the person was really really quickly .
the person cries very very perfectly .	the person is very very perfectly .
the doctor exercises really really quickly .	the doctor is really really quickly .
the girl cries very very quietly .	the girl is very very quietly .
the customer sings really really quietly .	the customer is really really quietly .
the driver talks really really perfectly .	the driver was really really perfectly .
the girl exercises very very quickly .	the girl was very very quickly .
the teacher paints really really quickly .	the teacher is really really quickly .
the dentist waves very very perfectly .	the dentist was very very perfectly .
the man waves very very quietly .	the man is very very quietly .
the dancer reads very very carefully .	the dancer was very very carefully .
the guy sings really really perfectly .	the guy was really really perfectly .
the queen paints really really quickly .	the queen is really really quickly .
the teacher exercises very very quietly .	the teacher is very very quietly .
the person exercises very very quickly .	the person was very very quickly .
the dancer paints very very carefully .	the dancer is very very carefully .
the dancer exercises really really quickly .	the dancer was really really quickly .
