your dentist bought my cousin the car .	your dentist dropped my cousin the car .
the customer bought my boss the book .	the customer held my boss the book .
Noah gave your boss the doll .	Noah held your boss the doll .
Anna showed my brother the car .	Anna cleaned my brother the car .
Steven sent my cousin 's wife 's dad the bed .	Steven lost my cousin 's wife 's dad the bed .
my boss sent my daughter 's mother the shirt .	my boss kept my daughter 's mother the shirt .
your doctor bought my boss the button .	your doctor cleaned my boss the button .
your teacher bought my boss 's teacher the plane .	your teacher held my boss 's teacher the plane .
David sent my father 's boss the glass .	David shook my father 's boss the glass .
Frank sent your father the ship .	Frank shook your father the ship .
Noah bought my friend 's brother 's friend the button .	Noah moved my friend 's brother 's friend the button .
the customer showed my sister 's sister the button .	the customer shook my sister 's sister the button .
your boss showed my doctor the picture .	your boss cleaned my doctor the picture .
the teacher bought your doctor 's husband 's dad the boat .	the teacher dropped your doctor 's husband 's dad the boat .
Patrick sent your dad 's cousin 's dad the fork .	Patrick shook your dad 's cousin 's dad the fork .
Catherine bought your dentist 's brother the hat .	Catherine dropped your dentist 's brother the hat .
the person gave your teacher 's grandmother the box .	the person cleaned your teacher 's grandmother the box .
my cousin sent my cousin 's cousin the plate .	my cousin shook my cousin 's cousin the plate .
my cousin showed my doctor 's wife 's sister the chair .	my cousin held my doctor 's wife 's sister the chair .
your doctor showed my daughter the glass .	your doctor shook my daughter the glass .
the teacher gave your friend 's teacher the book .	the teacher held your friend 's teacher the book .
my cousin gave your father 's doctor 's wife the plane .	my cousin moved your father 's doctor 's wife the plane .
my teacher bought your brother 's grandmother the mirror .	my teacher shook your brother 's grandmother the mirror .
your teacher showed your husband 's mother 's daughter the picture .	your teacher dropped your husband 's mother 's daughter the picture .
James gave my brother the plate .	James dropped my brother the plate .
Joseph sent my teacher 's brother the shoe .	Joseph dropped my teacher 's brother the shoe .
my teacher showed your husband 's son 's son the rug .	my teacher cleaned your husband 's son 's son the rug .
my teacher sent my friend 's sister 's husband the cup .	my teacher dropped my friend 's sister 's husband the cup .
Nina showed my dad the truck .	Nina held my dad the truck .
your cousin showed my dad the door .	your cousin lost my dad the door .
the teacher sent my cousin 's doctor the book .	the teacher dropped my cousin 's doctor the book .
your boss showed your doctor the door .	your boss kept your doctor the door .
the customer sent your sister 's brother the chair .	the customer kept your sister 's brother the chair .
the child gave my cousin 's boss 's husband the window .	the child moved my cousin 's boss 's husband the window .
Sally gave my daughter the car .	Sally held my daughter the car .
Laurie sent my dad the button .	Laurie lost my dad the button .
Sarah sent your friend the couch .	Sarah cleaned your friend the couch .
your doctor gave your friend the bowl .	your doctor moved your friend the bowl .
Erin bought my sister the bottle .	Erin moved my sister the bottle .
Susan showed your boss 's grandmother the doll .	Susan held your boss 's grandmother the doll .
your dentist gave your teacher 's daughter the candle .	your dentist shook your teacher 's daughter the candle .
my boss showed my grandmother 's boss 's cousin the door .	my boss moved my grandmother 's boss 's cousin the door .
your friend bought your teacher 's dad 's mom the couch .	your friend kept your teacher 's dad 's mom the couch .
my teacher gave your friend 's boss the shirt .	my teacher moved your friend 's boss the shirt .
the adult gave my sister 's mother the car .	the adult moved my sister 's mother the car .
the customer gave my husband 's father 's dad the candle .	the customer shook my husband 's father 's dad the candle .
Samantha sent your dentist 's cousin 's friend the book .	Samantha dropped your dentist 's cousin 's friend the book .
the customer gave my sister 's mother the shirt .	the customer lost my sister 's mother the shirt .
the adult gave your daughter the fork .	the adult held your daughter the fork .
your boss sent your dentist 's mother the crayon .	your boss moved your dentist 's mother the crayon .
my teacher sent your wife 's sister 's mom the car .	my teacher lost your wife 's sister 's mom the car .
the teacher bought my cousin the bed .	the teacher kept my cousin the bed .
Brett gave my teacher 's husband 's doctor the button .	Brett dropped my teacher 's husband 's doctor the button .
the patient bought your grandmother 's grandmother the car .	the patient kept your grandmother 's grandmother the car .
the child sent your mother the cup .	the child shook your mother the cup .
your dentist gave your dad the book .	your dentist lost your dad the book .
Sarah bought my husband 's husband 's husband the toy .	Sarah moved my husband 's husband 's husband the toy .
my friend showed my brother the bicycle .	my friend dropped my brother the bicycle .
the doctor showed your wife 's daughter the book .	the doctor moved your wife 's daughter the book .
Erin gave your dad the box .	Erin lost your dad the box .
my cousin sent your doctor 's cousin the shoe .	my cousin shook your doctor 's cousin the shoe .
your teacher gave my husband 's grandmother the book .	your teacher lost my husband 's grandmother the book .
Leslie showed your dad 's sister the crayon .	Leslie shook your dad 's sister the crayon .
the dentist sent your friend the doll .	the dentist held your friend the doll .
Jane showed my teacher 's daughter the window .	Jane dropped my teacher 's daughter the window .
Steve showed my husband the couch .	Steve held my husband the couch .
Renee gave your dad 's mother 's mother the window .	Renee kept your dad 's mother 's mother the window .
George bought your doctor 's boss the door .	George cleaned your doctor 's boss the door .
