are n't the spoons waving ?	are n't the spoon waving ?
does the bowl care for this bed ?	does the bowls care for this bed ?
was the car keeping the customer ?	was the cars keeping the customer ?
do n't the beds talk ?	do n't the bed talk ?
do n't the beds sing ?	do n't the bed sing ?
have the shoes worried the chairs ?	have the shoe worried the chairs ?
has the room eaten ?	has the rooms eaten ?
have n't the glasses laughed ?	have n't the glass laughed ?
does n't the bottle drop that king ?	does n't the bottles drop that king ?
was n't the boat losing the person ?	was n't the boats losing the person ?
is n't the bottle moving that girl ?	is n't the bottles moving that girl ?
was n't the window losing these men ?	was n't the windows losing these men ?
have the boats bothered the book ?	have the boat bothered the book ?
has n't the window moved that adult ?	has n't the windows moved that adult ?
are the boxes growing ?	are the box growing ?
have n't the bags scared that school ?	have n't the bag scared that school ?
was the spoon bringing the men ?	was the spoons bringing the men ?
are n't the cars holding those guys ?	are n't the car holding those guys ?
do the shirts know these crayons ?	do the shirt know these crayons ?
are the books reading ?	are the book reading ?
has n't the school talked to this room ?	has n't the schools talked to this room ?
has n't the bowl cried ?	has n't the bowls cried ?
have the trucks visited the mall ?	have the truck visited the mall ?
does the button throw this man ?	does the buttons throw this man ?
has n't the car visited the book ?	has n't the cars visited the book ?
do n't the crayons lie ?	do n't the crayon lie ?
do n't the pictures have this customer ?	do n't the picture have this customer ?
are n't the schools screaming ?	are n't the school screaming ?
has n't the bowl taken that man ?	has n't the bowls taken that man ?
have n't the rooms dropped that guy ?	have n't the room dropped that guy ?
do the cars talk ?	do the car talk ?
does the boat appreciate those toys ?	does the boats appreciate those toys ?
have n't the crayons scared this bowl ?	have n't the crayon scared this bowl ?
does the window sing ?	does the windows sing ?
does the car sell that doctor ?	does the cars sell that doctor ?
do the rings sing ?	do the ring sing ?
do n't the spoons bother that fork ?	do n't the spoon bother that fork ?
was the candle listening to these books ?	was the candles listening to these books ?
do n't the toys scream ?	do n't the toy scream ?
do n't the cars listen to these shoes ?	do n't the car listen to these shoes ?
was the bed holding this child ?	was the beds holding this child ?
do n't the toys worry these hats ?	do n't the toy worry these hats ?
have n't the hats won ?	have n't the hat won ?
does the bowl help that doll ?	does the bowls help that doll ?
does the window steal that king ?	does the windows steal that king ?
do the spoons praise that plate ?	do the spoon praise that plate ?
has n't the shoe answered these plates ?	has n't the shoes answered these plates ?
are the doors working with those rings ?	are the door working with those rings ?
has n't the school taught the chair ?	has n't the schools taught the chair ?
have n't the candles found the beds ?	have n't the candle found the beds ?
do n't the rings clean the man ?	do n't the ring clean the man ?
were the spoons reading ?	were the spoon reading ?
does n't the toy practice ?	does n't the toys practice ?
is n't the ring working with that cup ?	is n't the rings working with that cup ?
does n't the candle sell this woman ?	does n't the candles sell this woman ?
do the books eat ?	do the book eat ?
do the glasses visit the doors ?	do the glass visit the doors ?
does the fork scream ?	does the forks scream ?
do n't the cars win ?	do n't the car win ?
do n't the schools know that plate ?	do n't the school know that plate ?
do the shirts laugh ?	do the shirt laugh ?
have n't the shoes found this woman ?	have n't the shoe found this woman ?
has the book talked to the spoons ?	has the books talked to the spoons ?
have n't the cars lost these boys ?	have n't the car lost these boys ?
has the car helped the bottle ?	has the cars helped the bottle ?
does the door bring the ladies ?	does the doors bring the ladies ?
was n't the glass holding those teachers ?	was n't the glasses holding those teachers ?
have the boats heard the plates ?	have the boat heard the plates ?
has the window worried this school ?	has the windows worried this school ?
have the candles talked to the dishes ?	have the candle talked to the dishes ?
has n't the shirt heard this glass ?	has n't the shirts heard this glass ?
do the doors talk to the box ?	do the door talk to the box ?
does the bottle sell those people ?	does the bottles sell those people ?
have the bottles won ?	have the bottle won ?
does n't the book exercise ?	does n't the books exercise ?
have the buttons made those teachers ?	have the button made those teachers ?
does n't the book teach the schools ?	does n't the books teach the schools ?
do the plates bother those hats ?	do the plate bother those hats ?
does n't the truck laugh ?	does n't the trucks laugh ?
does n't the book answer the forks ?	does n't the books answer the forks ?
have the pictures lost ?	have the picture lost ?
has the spoon confused this school ?	has the spoons confused this school ?
have the crayons eaten ?	have the crayon eaten ?
have the books heard this car ?	have the book heard this car ?
do the forks run ?	do the fork run ?
does the school cry ?	does the schools cry ?
have the cars waved ?	have the car waved ?
do n't the hats clean this doctor ?	do n't the hat clean this doctor ?
were the books visiting this chair ?	were the book visiting this chair ?
does n't the button fix the person ?	does n't the buttons fix the person ?
were n't the boxes lying ?	were n't the box lying ?
was the car working with that rug ?	was the cars working with that rug ?
does the truck learn ?	does the trucks learn ?
has n't the fork eaten ?	has n't the forks eaten ?
has n't the doll laughed ?	has n't the dolls laughed ?
was the candle visiting this school ?	was the candles visiting this school ?
does n't the plate stretch ?	does n't the plates stretch ?
does n't the car bother the boxes ?	does n't the cars bother the boxes ?
has the crayon heard this candle ?	has the crayons heard this candle ?
does n't the spoon sell the teacher ?	does n't the spoons sell the teacher ?
do n't the spoons bring this girl ?	do n't the spoon bring this girl ?
have the windows learned ?	have the window learned ?
does n't the fork scream ?	does n't the forks scream ?
does the box scare these buttons ?	does the boxes scare these buttons ?
has the picture painted ?	has the pictures painted ?
do the dolls worry those cars ?	do the doll worry those cars ?
