these children heard themselves .	these children heard himself .
the patient might talk about herself .	the patient might talk about themselves .
your cousin knew herself .	your cousin knew themselves .
the doctors hate themselves .	the doctors hate herself .
the children are talking about themselves .	the children are talking about himself .
these doctors look like themselves .	these doctors look like himself .
your teachers looked like themselves .	your teachers looked like himself .
my cousins liked themselves .	my cousins liked herself .
the doctors loved themselves .	the doctors loved himself .
my friends liked themselves .	my friends liked himself .
my teacher was thinking about himself .	my teacher was thinking about themselves .
my friend saw herself .	my friend saw themselves .
your dentist will notice herself .	your dentist will notice themselves .
my cousin had n't talked about herself .	my cousin had n't talked about themselves .
those people know themselves .	those people know himself .
my doctors had n't seen themselves .	my doctors had n't seen herself .
your teachers were n't thinking about themselves .	your teachers were n't thinking about himself .
my teacher knew herself .	my teacher knew themselves .
your dentist likes herself .	your dentist likes themselves .
the teachers look like themselves .	the teachers look like herself .
my doctor knows himself .	my doctor knows themselves .
my friends have n't thought about themselves .	my friends have n't thought about herself .
the dentist heard himself .	the dentist heard themselves .
your friends had thought about themselves .	your friends had thought about herself .
your dentist likes himself .	your dentist likes themselves .
my boss must forget himself .	my boss must forget themselves .
the person forgot herself .	the person forgot themselves .
your cousin sounds like herself .	your cousin sounds like themselves .
that person could hate himself .	that person could hate themselves .
the child has n't thought about himself .	the child has n't thought about themselves .
my teacher has talked about himself .	my teacher has talked about themselves .
these children have n't thought about themselves .	these children have n't thought about himself .
this person heard herself .	this person heard themselves .
the children have n't remembered themselves .	the children have n't remembered herself .
your doctors sound like themselves .	your doctors sound like herself .
the adult sees herself .	the adult sees themselves .
these doctors forget themselves .	these doctors forget herself .
your cousins have n't noticed themselves .	your cousins have n't noticed herself .
your doctor liked himself .	your doctor liked themselves .
my doctors were n't talking about themselves .	my doctors were n't talking about himself .
your doctors must talk about themselves .	your doctors must talk about himself .
my boss had heard herself .	my boss had heard themselves .
those people know themselves .	those people know herself .
those people sounded like themselves .	those people sounded like herself .
your cousins know themselves .	your cousins know himself .
those teachers hear themselves .	those teachers hear herself .
your cousin looks like herself .	your cousin looks like themselves .
your friends did n't think about themselves .	your friends did n't think about himself .
those people must think about themselves .	those people must think about himself .
my teacher could forget himself .	my teacher could forget themselves .
your teacher wo n't like himself .	your teacher wo n't like themselves .
those people had n't thought about themselves .	those people had n't thought about himself .
your cousin could see herself .	your cousin could see themselves .
your boss looked like herself .	your boss looked like themselves .
the child has n't thought about herself .	the child has n't thought about themselves .
this person did n't notice himself .	this person did n't notice themselves .
that child likes herself .	that child likes themselves .
your teachers do n't notice themselves .	your teachers do n't notice himself .
your friends must hear themselves .	your friends must hear herself .
these people had noticed themselves .	these people had noticed herself .
this child had n't thought about herself .	this child had n't thought about themselves .
your boss should forget herself .	your boss should forget themselves .
the people have n't remembered themselves .	the people have n't remembered himself .
your cousins hear themselves .	your cousins hear himself .
the teachers would n't know themselves .	the teachers would n't know himself .
the children may think about themselves .	the children may think about himself .
the children know themselves .	the children know himself .
these doctors could look like themselves .	these doctors could look like himself .
this customer knew himself .	this customer knew themselves .
your cousin would n't notice himself .	your cousin would n't notice themselves .
those children hear themselves .	those children hear himself .
the dentist thought about herself .	the dentist thought about themselves .
your dentist sounds like himself .	your dentist sounds like themselves .
my cousin looks like herself .	my cousin looks like themselves .
those people could n't talk about themselves .	those people could n't talk about himself .
my friend talked about himself .	my friend talked about themselves .
your teachers hear themselves .	your teachers hear herself .
this person talks about himself .	this person talks about themselves .
my doctors had n't heard themselves .	my doctors had n't heard herself .
my cousins talked about themselves .	my cousins talked about herself .
your boss saw himself .	your boss saw themselves .
the dentist has heard himself .	the dentist has heard themselves .
those teachers have n't heard themselves .	those teachers have n't heard herself .
my teachers liked themselves .	my teachers liked himself .
the customer has n't remembered herself .	the customer has n't remembered themselves .
that person looked like himself .	that person looked like themselves .
that person thought about himself .	that person thought about themselves .
that dancer could talk about herself .	that dancer could talk about themselves .
