that ship reads .	that ship read .
the library grows .	the library grow .
this bottle talks .	this bottle talk .
these books hear this toy .	these books hears this toy .
these trucks sing .	these trucks sings .
those glasses keep those guys .	those glasses keeps those guys .
these pictures talk to that bed .	these pictures talks to that bed .
those shoes know those toys .	those shoes knows those toys .
that bank knows the rooms .	that bank know the rooms .
that box talks to that library .	that box talk to that library .
this book hears these hats .	this book hear these hats .
the schools have the doctor .	the schools has the doctor .
those hats make this guy .	those hats makes this guy .
this ring works with this button .	this ring work with this button .
the shirts drop the king .	the shirts drops the king .
this kitchen exercises .	this kitchen exercise .
that school waves .	that school wave .
that chair brings the lady .	that chair bring the lady .
that car exercises .	that car exercise .
the chairs move the customer .	the chairs moves the customer .
this library talks .	this library talk .
that plane takes this girl .	that plane take this girl .
the spoons know that mall .	the spoons knows that mall .
this restaurant cries .	this restaurant cry .
the glass helps this bottle .	the glass help this bottle .
the forks help that park .	the forks helps that park .
that kitchen talks .	that kitchen talk .
the pictures throw that queen .	the pictures throws that queen .
that plane waves .	that plane wave .
that truck drops these guys .	that truck drop these guys .
these schools read .	these schools reads .
the book makes the dancer .	the book make the dancer .
those schools know these boats .	those schools knows these boats .
the rooms run .	the rooms runs .
the truck drops this patient .	the truck drop this patient .
this hat reads .	this hat read .
this box works with these dishes .	this box work with these dishes .
the mall helps the plate .	the mall help the plate .
this picture drops the girl .	this picture drop the girl .
those buttons eat .	those buttons eats .
the chairs run .	the chairs runs .
that school helps these bowls .	that school help these bowls .
the bottles talk .	the bottles talks .
that chair understands that fork .	that chair understand that fork .
this school sings .	this school sing .
those candles bring those teachers .	those candles brings those teachers .
these cups scare these buttons .	these cups scares these buttons .
the car scares those dolls .	the car scare those dolls .
those cars know those rings .	those cars knows those rings .
this candle helps this mall .	this candle help this mall .
this chair paints .	this chair paint .
the kitchen knows those shoes .	the kitchen know those shoes .
this fork talks .	this fork talk .
the windows hold the boys .	the windows holds the boys .
the window hears the cars .	the window hear the cars .
the shirts know the book .	the shirts knows the book .
these books take the boy .	these books takes the boy .
the kitchen scares that book .	the kitchen scare that book .
these rings exercise .	these rings exercises .
the park sings .	the park sing .
the cars eat .	the cars eats .
these cups know that button .	these cups knows that button .
those chairs understand these boxes .	those chairs understands these boxes .
those rings scare these candles .	those rings scares these candles .
these bags understand that library .	these bags understands that library .
those dishes hear these cups .	those dishes hears these cups .
the kitchen understands the bicycle .	the kitchen understand the bicycle .
these toys scare that crayon .	these toys scares that crayon .
these dishes sing .	these dishes sings .
that spoon talks to those boats .	that spoon talk to those boats .
that spoon cries .	that spoon cry .
this crayon hears the chair .	this crayon hear the chair .
that rug hears this crayon .	that rug hear this crayon .
that bank knows those shirts .	that bank know those shirts .
the windows run .	the windows runs .
the cups talk .	the cups talks .
the rocket helps these buttons .	the rocket help these buttons .
these books work with those cars .	these books works with those cars .
that book knows the buttons .	that book know the buttons .
this school grows .	this school grow .
the chair runs .	the chair run .
those rings hold these girls .	those rings holds these girls .
this picture cries .	this picture cry .
the buttons sing .	the buttons sings .
those plates know that bed .	those plates knows that bed .
the cups work with the glasses .	the cups works with the glasses .
the schools understand this ship .	the schools understands this ship .
those buttons help that room .	those buttons helps that room .
the bed hears those shirts .	the bed hear those shirts .
these shoes work with this park .	these shoes works with this park .
those shoes hear the fork .	those shoes hears the fork .
this spoon hears these schools .	this spoon hear these schools .
that car sings .	that car sing .
these plates have that girl .	these plates has that girl .
the chairs make the queen .	the chairs makes the queen .
that window cries .	that window cry .
this museum talks .	this museum talk .
that mirror holds this queen .	that mirror hold this queen .
this car works with that bowl .	this car work with that bowl .
that spoon sings .	that spoon sing .
the truck brings the men .	the truck bring the men .
those books work with the shirt .	those books works with the shirt .
the door knows this hospital .	the door know this hospital .
those pictures eat .	those pictures eats .
this couch takes this girl .	this couch take this girl .
that car talks to this spoon .	that car talk to this spoon .
