which car have the doctors noticed ?	which have the doctors noticed car ?
what dolls did these men think about ?	what did these men think about dolls ?
what doors were the forks breaking ?	what were the forks breaking doors ?
which restaurant is this patient leaving ?	which is this patient leaving restaurant ?
what guys have these men heard ?	what have these men heard guys ?
which girl did the guy bother ?	which did the guy bother girl ?
what plates is this couch breaking ?	what is this couch breaking plates ?
which box could this teacher buy ?	which could this teacher buy box ?
which shirts would these birds like ?	which would these birds like shirts ?
what guys is that queen visiting ?	what is that queen visiting guys ?
what bank would these children return to ?	what would these children return to bank ?
what mirror had that lady moved ?	what had that lady moved mirror ?
what cups would the boxes break ?	what would the boxes break cups ?
which chairs does that patient lose ?	which does that patient lose chairs ?
what customer was this teacher listening to ?	what was this teacher listening to customer ?
what dentist is this adult talking to ?	what is this adult talking to dentist ?
which child will the adult appreciate ?	which will the adult appreciate child ?
which shoes had that guy thought about ?	which had that guy thought about shoes ?
which picture could those guys take ?	which could those guys take picture ?
what toys have these people made ?	what have these people made toys ?
which doctors would the people hate ?	which would the people hate doctors ?
what rabbit had this customer remembered ?	what had this customer remembered rabbit ?
what book was the person shaking ?	what was the person shaking book ?
what beds had that driver fixed ?	what had that driver fixed beds ?
which adult could these doctors notice ?	which could these doctors notice adult ?
which beds should this lady bring ?	which should this lady bring beds ?
what truck had the lady broken ?	what had the lady broken truck ?
what books can the dentist clean ?	what can the dentist clean books ?
which patient had the customer talked about ?	which had the customer talked about patient ?
what driver should the woman forget ?	what should the woman forget driver ?
which king will those women care for ?	which will those women care for king ?
which cats was this driver thinking about ?	which was this driver thinking about cats ?
what shoes has that dancer seen ?	what has that dancer seen shoes ?
what person would that woman work with ?	what would that woman work with person ?
which buttons would the doctor bring ?	which would the doctor bring buttons ?
what trucks have those women held ?	what have those women held trucks ?
which bed could the doctors love ?	which could the doctors love bed ?
which toys do these women break ?	which do these women break toys ?
what women are these children helping ?	what are these children helping women ?
which bird is the doctor talking about ?	which is the doctor talking about bird ?
what doctors has the dancer worried ?	what has the dancer worried doctors ?
what museum are these women driving to ?	what are these women driving to museum ?
what dish have those ladies lost ?	what have those ladies lost dish ?
which bank are the boys walking through ?	which are the boys walking through bank ?
which books had that driver thrown ?	which had that driver thrown books ?
what teachers will this child teach ?	what will this child teach teachers ?
what dogs can those children hear ?	what can those children hear dogs ?
which bottle is this woman throwing ?	which is this woman throwing bottle ?
which cups was this dancer breaking ?	which was this dancer breaking cups ?
which child had the driver taught ?	which had the driver taught child ?
which hat can this bed break ?	which can this bed break hat ?
what book had this child talked about ?	what had this child talked about book ?
which rings had that teacher lost ?	which had that teacher lost rings ?
what cats did this customer love ?	what did this customer love cats ?
what button did that child find ?	what did that child find button ?
what doctors did that patient listen to ?	what did that patient listen to doctors ?
which buttons has this driver held ?	which has this driver held buttons ?
what ladies had the people talked to ?	what had the people talked to ladies ?
which adult was that child working with ?	which was that child working with adult ?
what rabbits has the turtle thought about ?	what has the turtle thought about rabbits ?
which shoes can the girl lose ?	which can the girl lose shoes ?
which dolls can that chair break ?	which can that chair break dolls ?
what bottle has that patient dropped ?	what has that patient dropped bottle ?
which people have those girls helped ?	which have those girls helped people ?
what rocket will that adult throw ?	what will that adult throw rocket ?
which shoe is the guy losing ?	which is the guy losing shoe ?
what door is that adult throwing ?	what is that adult throwing door ?
what window had that driver talked about ?	what had that driver talked about window ?
which dancer will those turtles hate ?	which will those turtles hate dancer ?
which schools could that guy drive to ?	which could that guy drive to schools ?
which bed will these teachers bring ?	which will these teachers bring bed ?
what hat would the teacher remember ?	what would the teacher remember hat ?
what candles should the truck break ?	what should the truck break candles ?
what spoons was this driver holding ?	what was this driver holding spoons ?
which dolls had that customer found ?	which had that customer found dolls ?
what bowl was this snake breaking ?	what was this snake breaking bowl ?
which book did these girls buy ?	which did these girls buy book ?
which candles are those people holding ?	which are those people holding candles ?
which child have the doctors talked to ?	which have the doctors talked to child ?
what snake are those guys talking about ?	what are those guys talking about snake ?
what spoons have those dolls broken ?	what have those dolls broken spoons ?
what boats were these boys throwing ?	what were these boys throwing boats ?
which men should that patient worry ?	which should that patient worry men ?
what boat is the customer bringing ?	what is the customer bringing boat ?
which queen should the queen visit ?	which should the queen visit queen ?
what child is this person listening to ?	what is this person listening to child ?
what girls were the teachers working with ?	what were the teachers working with girls ?
what birds have the ladies heard ?	what have the ladies heard birds ?
which room can the doctors drive to ?	which can the doctors drive to room ?
what boy had that patient taught ?	what had that patient taught boy ?
which glasses is this adult keeping ?	which is this adult keeping glasses ?
what book was that dancer keeping ?	what was that dancer keeping book ?
what child will those people teach ?	what will those people teach child ?
