your daughter should n't explain that my friends notice her .	your daughter should n't explain that my friends notice herself .
Bill should think that your friends hear him .	Bill should think that your friends hear himself .
Mary would know that the boy would know her .	Mary would know that the boy would know herself .
my husband noticed that my mom must remember him .	my husband noticed that my mom must remember himself .
these people are n't saying that that woman was talking about them .	these people are n't saying that that woman was talking about themselves .
that woman noticed that your teachers think about her .	that woman noticed that your teachers think about herself .
William is n't learning that the woman likes him .	William is n't learning that the woman likes himself .
my cousins explain that your mom had thought about them .	my cousins explain that your mom had thought about themselves .
these children learned that Jennifer will know them .	these children learned that Jennifer will know themselves .
my husband is learning that Amy would hear him .	my husband is learning that Amy would hear himself .
my cousins think that this girl has n't thought about them .	my cousins think that this girl has n't thought about themselves .
the children said that my mom had n't thought about them .	the children said that my mom had n't thought about themselves .
that woman may think that the doctors notice her .	that woman may think that the doctors notice herself .
the boy can say that April loved him .	the boy can say that April loved himself .
that queen knows that my friends should n't hate her .	that queen knows that my friends should n't hate herself .
the woman remembered that the guy sees her .	the woman remembered that the guy sees herself .
that boy learned that those teachers may like him .	that boy learned that those teachers may like himself .
your friends have n't learned that the woman talked about them .	your friends have n't learned that the woman talked about themselves .
Sara should forget that the doctors remember her .	Sara should forget that the doctors remember herself .
Peter wo n't realize that Nancy talks about him .	Peter wo n't realize that Nancy talks about himself .
these doctors are n't hoping that this boy had remembered them .	these doctors are n't hoping that this boy had remembered themselves .
your teachers are learning that my sister talks about them .	your teachers are learning that my sister talks about themselves .
Jill had n't realized that these people would talk about her .	Jill had n't realized that these people would talk about herself .
my daughter forgot that James has noticed her .	my daughter forgot that James has noticed herself .
your doctors had realized that James is talking about them .	your doctors had realized that James is talking about themselves .
Joseph must whisper that my doctors could think about him .	Joseph must whisper that my doctors could think about himself .
your father knows that your sister remembered him .	your father knows that your sister remembered himself .
your teachers know that Julia is talking about them .	your teachers know that Julia is talking about themselves .
Naomi said that Mark remembered her .	Naomi said that Mark remembered herself .
your mother can believe that your friends were n't thinking about her .	your mother can believe that your friends were n't thinking about herself .
your teachers would forget that your grandmother has seen them .	your teachers would forget that your grandmother has seen themselves .
my teachers thought that Kevin was talking about them .	my teachers thought that Kevin was talking about themselves .
Daniel is n't learning that those teachers might talk about him .	Daniel is n't learning that those teachers might talk about himself .
your mom knows that Daniel forgot her .	your mom knows that Daniel forgot herself .
Travis had learned that your doctors forgot him .	Travis had learned that your doctors forgot himself .
your friends can n't learn that your mother sounded like them .	your friends can n't learn that your mother sounded like themselves .
that guy was n't learning that my sister should n't see him .	that guy was n't learning that my sister should n't see himself .
those people will believe that your brother could hear them .	those people will believe that your brother could hear themselves .
these people might forget that Mary could n't love them .	these people might forget that Mary could n't love themselves .
those doctors learn that your wife noticed them .	those doctors learn that your wife noticed themselves .
the woman has n't learned that my brother remembered her .	the woman has n't learned that my brother remembered herself .
these children say that Ronald thinks about them .	these children say that Ronald thinks about themselves .
that queen wo n't explain that my brother has heard her .	that queen wo n't explain that my brother has heard herself .
these doctors hope that Renee was n't thinking about them .	these doctors hope that Renee was n't thinking about themselves .
that king had n't realized that that queen remembered him .	that king had n't realized that that queen remembered himself .
Liam should n't forget that the people remember him .	Liam should n't forget that the people remember himself .
these doctors learn that the queen sounded like them .	these doctors learn that the queen sounded like themselves .
my father knew that your friends should talk about him .	my father knew that your friends should talk about himself .
the doctors have n't realized that Tracy knew them .	the doctors have n't realized that Tracy knew themselves .
those children say that your daughter does n't see them .	those children say that your daughter does n't see themselves .
these children have noticed that your husband hears them .	these children have noticed that your husband hears themselves .
Carol should learn that my doctors noticed her .	Carol should learn that my doctors noticed herself .
