only that dancer could ever work with that doctor .	even that dancer could ever work with that doctor .
only that child can ever work with these boys .	even that child can ever work with these boys .
only that dentist can ever look like those doctors .	even that dentist can ever look like those doctors .
only this king would ever bring this box .	even this king would ever bring this box .
only the boxes have ever rolled away .	even the boxes have ever rolled away .
only those people had ever visited the child .	even those people had ever visited the child .
only that door should ever move .	even that door should ever move .
only the guys could ever care for that king .	even the guys could ever care for that king .
only those boats had ever dropped .	even those boats had ever dropped .
only these boys have ever taken the plates .	even these boys have ever taken the plates .
only this toy could ever move .	even this toy could ever move .
only that boy had ever made this picture .	even that boy had ever made this picture .
only the forks had ever dropped .	even the forks had ever dropped .
only that customer had ever painted .	even that customer had ever painted .
only that door will ever roll away .	even that door will ever roll away .
only that patient should ever run around this hospital .	even that patient should ever run around this hospital .
only the person had ever cleaned the bed .	even the person had ever cleaned the bed .
only these hats should ever drop .	even these hats should ever drop .
only that person has ever talked .	even that person has ever talked .
only those guys will ever eat .	even those guys will ever eat .
only these people should ever appreciate the girl .	even these people should ever appreciate the girl .
only the girls would ever notice the dancer .	even the girls would ever notice the dancer .
only the children have ever bought the glasses .	even the children have ever bought the glasses .
only this teacher can ever steal this rug .	even this teacher can ever steal this rug .
only that patient had ever confused that doctor .	even that patient had ever confused that doctor .
only that bottle will ever drop .	even that bottle will ever drop .
only that lady would ever cry .	even that lady would ever cry .
only this man will ever win .	even this man will ever win .
only that man has ever thought about this adult .	even that man has ever thought about this adult .
only the lady will ever break the plate .	even the lady will ever break the plate .
only those women can ever talk .	even those women can ever talk .
only the king should ever talk about these books .	even the king should ever talk about these books .
only this doctor would ever scream .	even this doctor would ever scream .
only these guys can ever make this plane .	even these guys can ever make this plane .
only the couch has ever dropped .	even the couch has ever dropped .
only that guy had ever confused the child .	even that guy had ever confused the child .
only the guy should ever see the hat .	even the guy should ever see the hat .
only those guys could ever find the boat .	even those guys could ever find the boat .
only this dancer should ever appreciate that dancer .	even this dancer should ever appreciate that dancer .
only those men would ever keep that crayon .	even those men would ever keep that crayon .
only the toys have ever dropped .	even the toys have ever dropped .
only that girl will ever bring the dolls .	even that girl will ever bring the dolls .
only the driver has ever talked about these dogs .	even the driver has ever talked about these dogs .
only this guy has ever remembered that bird .	even this guy has ever remembered that bird .
only the teachers have ever walked through the room .	even the teachers have ever walked through the room .
only the child can ever sneeze .	even the child can ever sneeze .
only the girls have ever thrown the doll .	even the girls have ever thrown the doll .
only those ladies can ever hear those guys .	even those ladies can ever hear those guys .
only those children should ever cry .	even those children should ever cry .
only these ladies have ever broken those boxes .	even these ladies have ever broken those boxes .
only these women can ever know this child .	even these women can ever know this child .
only the dogs can ever eat .	even the dogs can ever eat .
only the child has ever walked through the school .	even the child has ever walked through the school .
only the turtles could ever notice that rug .	even the turtles could ever notice that rug .
only these people can ever learn .	even these people can ever learn .
