your friend found your teacher quietly .	your friend found quietly your teacher .
this person talked to your cousin slowly .	this person talked to slowly your cousin .
your doctor helped the doctor quickly .	your doctor helped quickly the doctor .
my friend worried the person quietly .	my friend worried quietly the person .
this child bothered this patient quietly .	this child bothered quietly this patient .
my cousin quickly scared that teacher .	my cousin scared quickly that teacher .
your cousin carefully taught that child .	your cousin taught carefully that child .
that adult perfectly helped my friend .	that adult helped perfectly my friend .
your doctor slowly visited the driver .	your doctor visited slowly the driver .
the child quietly taught your boss .	the child taught quietly your boss .
your friend bothered my teacher quietly .	your friend bothered quietly my teacher .
your doctor quietly visited my teacher .	your doctor visited quietly my teacher .
my boss slowly confused my friend .	my boss confused slowly my friend .
your cousin lost my friend quickly .	your cousin lost quickly my friend .
your cousin slowly found this adult .	your cousin found slowly this adult .
that child worried your dentist slowly .	that child worried slowly your dentist .
that driver carefully answered that adult .	that driver answered carefully that adult .
your teacher slowly scared your cousin .	your teacher scared slowly your cousin .
your friend quietly scared your cousin .	your friend scared quietly your cousin .
this teacher perfectly bothered this dentist .	this teacher bothered perfectly this dentist .
your dentist slowly bothered my boss .	your dentist bothered slowly my boss .
my teacher quietly bothered your boss .	my teacher bothered quietly your boss .
your teacher slowly found the child .	your teacher found slowly the child .
this customer slowly worked with this person .	this customer worked with slowly this person .
that dentist quickly visited your dentist .	that dentist visited quickly your dentist .
your dentist quickly confused the doctor .	your dentist confused quickly the doctor .
this dancer taught that person quickly .	this dancer taught quickly that person .
that dentist lost my dentist perfectly .	that dentist lost perfectly my dentist .
my friend answered this patient slowly .	my friend answered slowly this patient .
the person worked with your boss quietly .	the person worked with quietly your boss .
the teacher lost this customer slowly .	the teacher lost slowly this customer .
my doctor lost your friend quietly .	my doctor lost quietly your friend .
the teacher quickly worried your dentist .	the teacher worried quickly your dentist .
my dentist found the dancer quietly .	my dentist found quietly the dancer .
this person perfectly found your friend .	this person found perfectly your friend .
your teacher perfectly answered my cousin .	your teacher answered perfectly my cousin .
that dancer quickly visited this dentist .	that dancer visited quickly this dentist .
your doctor taught your teacher perfectly .	your doctor taught perfectly your teacher .
that driver talked to your boss quickly .	that driver talked to quickly your boss .
this customer perfectly answered my teacher .	this customer answered perfectly my teacher .
the customer slowly answered that doctor .	the customer answered slowly that doctor .
your friend slowly confused the teacher .	your friend confused slowly the teacher .
your teacher perfectly answered the dancer .	your teacher answered perfectly the dancer .
the driver taught that dentist perfectly .	the driver taught perfectly that dentist .
that customer worried my boss quietly .	that customer worried quietly my boss .
this teacher carefully visited that child .	this teacher visited carefully that child .
the driver answered my dentist slowly .	the driver answered slowly my dentist .
your doctor confused the person carefully .	your doctor confused carefully the person .
your teacher slowly found your dentist .	your teacher found slowly your dentist .
the doctor quietly found my friend .	the doctor found quietly my friend .
my dentist slowly bothered my friend .	my dentist bothered slowly my friend .
this doctor taught your dentist quickly .	this doctor taught quickly your dentist .
that child slowly lost your boss .	that child lost slowly your boss .
