only those hats can ever drop that doctor .	even those hats can ever drop that doctor .
only these dishes had ever kept the men .	even these dishes had ever kept the men .
only the mirror would ever talk .	even the mirror would ever talk .
only the ring had ever taught the kitchen .	even the ring had ever taught the kitchen .
only that truck can ever praise these plates .	even that truck can ever praise these plates .
only these books would ever lift these children .	even these books would ever lift these children .
only this kitchen has ever bought that man .	even this kitchen has ever bought that man .
only that kitchen has ever brought the man .	even that kitchen has ever brought the man .
only this button can ever praise the pictures .	even this button can ever praise the pictures .
only those bottles can ever praise this window .	even those bottles can ever praise this window .
only those glasses will ever talk to that couch .	even those glasses will ever talk to that couch .
only this rocket had ever brought the doctor .	even this rocket had ever brought the doctor .
only the bowls will ever praise this bag .	even the bowls will ever praise this bag .
only the books should ever listen to these dolls .	even the books should ever listen to these dolls .
only these glasses should ever worry this doll .	even these glasses should ever worry this doll .
only those bowls have ever laughed .	even those bowls have ever laughed .
only that plane has ever learned .	even that plane has ever learned .
only those bags could ever listen to the park .	even those bags could ever listen to the park .
only these cups had ever run .	even these cups had ever run .
only the bag can ever sneeze .	even the bag can ever sneeze .
only those doors would ever lift that lady .	even those doors would ever lift that lady .
only the cups can ever know those candles .	even the cups can ever know those candles .
only these shirts have ever lost that chair .	even these shirts have ever lost that chair .
only that shirt could ever know that boat .	even that shirt could ever know that boat .
only those hats will ever eat .	even those hats will ever eat .
only these chairs had ever bothered those bowls .	even these chairs had ever bothered those bowls .
only the mall can ever praise this box .	even the mall can ever praise this box .
only that window will ever answer this window .	even that window will ever answer this window .
only this bed can ever worry that dish .	even this bed can ever worry that dish .
only those boats had ever brought the ladies .	even those boats had ever brought the ladies .
only the button will ever understand these boats .	even the button will ever understand these boats .
only that shirt should ever find those teachers .	even that shirt should ever find those teachers .
only those forks should ever sneeze .	even those forks should ever sneeze .
only this school has ever read .	even this school has ever read .
only those dishes could ever cry .	even those dishes could ever cry .
only the bags could ever sneeze .	even the bags could ever sneeze .
only these books can ever paint .	even these books can ever paint .
only this shoe had ever bought this dentist .	even this shoe had ever bought this dentist .
only these books should ever scare this school .	even these books should ever scare this school .
only those buttons had ever lost these candles .	even those buttons had ever lost these candles .
only the shoe can ever lift the teacher .	even the shoe can ever lift the teacher .
only these books would ever scare these dishes .	even these books would ever scare these dishes .
only that fork has ever lost .	even that fork has ever lost .
only this truck can ever cough .	even this truck can ever cough .
only this fork has ever visited that car .	even this fork has ever visited that car .
only those crayons have ever moved this dentist .	even those crayons have ever moved this dentist .
only that rocket should ever work with the candle .	even that rocket should ever work with the candle .
only this ring should ever hear the button .	even this ring should ever hear the button .
only those schools had ever run .	even those schools had ever run .
only this book can ever make these people .	even this book can ever make these people .
only that glass would ever have that adult .	even that glass would ever have that adult .
only those bags had ever visited that room .	even those bags had ever visited that room .
only these boats have ever taught the park .	even these boats have ever taught the park .
only those windows had ever won .	even those windows had ever won .
only these cups had ever thrown the men .	even these cups had ever thrown the men .
only those glasses had ever bought these teachers .	even those glasses had ever bought these teachers .
only those bags should ever smile .	even those bags should ever smile .
only the school would ever grow .	even the school would ever grow .
only these rooms would ever scare the shoe .	even these rooms would ever scare the shoe .
only the bags have ever made those ladies .	even the bags have ever made those ladies .
only these boats have ever grown .	even these boats have ever grown .
only those bottles have ever taken these guys .	even those bottles have ever taken these guys .
only that toy has ever heard this bowl .	even that toy has ever heard this bowl .
only the chair would ever run .	even the chair would ever run .
only these shirts could ever exercise .	even these shirts could ever exercise .
only these beds have ever taught the cup .	even these beds have ever taught the cup .
only the mirror has ever taught the picture .	even the mirror has ever taught the picture .
only these schools will ever smile .	even these schools will ever smile .
only this school has ever talked to those candles .	even this school has ever talked to those candles .
only the bottle could ever scare that bed .	even the bottle could ever scare that bed .
only this fork had ever made those ladies .	even this fork had ever made those ladies .
