these candles helped themselves .	these candles helped himself .
these dolls lost themselves .	these dolls lost herself .
that bottle bothered herself .	that bottle bothered themselves .
that cup had n't lost herself .	that cup had n't lost themselves .
the pictures are bothering themselves .	the pictures are bothering himself .
the door must bother herself .	the door must bother themselves .
the crayon can understand himself .	the crayon can understand themselves .
the plates were n't listening to themselves .	the plates were n't listening to himself .
the rug scared herself .	the rug scared themselves .
these forks can n't listen to themselves .	these forks can n't listen to himself .
those glasses are n't working with themselves .	those glasses are n't working with herself .
the glasses had n't bothered themselves .	the glasses had n't bothered herself .
the hats have n't lost themselves .	the hats have n't lost himself .
that book scared herself .	that book scared themselves .
these crayons talk to themselves .	these crayons talk to herself .
the plate talked to herself .	the plate talked to themselves .
that doll taught herself .	that doll taught themselves .
these books found themselves .	these books found himself .
that car found herself .	that car found themselves .
those trucks had scared themselves .	those trucks had scared himself .
these bowls had worried themselves .	these bowls had worried herself .
this candle taught herself .	this candle taught themselves .
the bottles must help themselves .	the bottles must help himself .
the buttons visit themselves .	the buttons visit himself .
this car taught herself .	this car taught themselves .
that car scares himself .	that car scares themselves .
these pictures taught themselves .	these pictures taught herself .
those dishes listen to themselves .	those dishes listen to herself .
these pictures listen to themselves .	these pictures listen to himself .
these cars visit themselves .	these cars visit herself .
this shoe might answer herself .	this shoe might answer themselves .
that shirt was n't helping himself .	that shirt was n't helping themselves .
that truck will work with himself .	that truck will work with themselves .
those books worked with themselves .	those books worked with himself .
the shirts visited themselves .	the shirts visited himself .
the couch did n't work with himself .	the couch did n't work with themselves .
the beds listen to themselves .	the beds listen to himself .
the bowls had found themselves .	the bowls had found herself .
those boats understand themselves .	those boats understand himself .
these cars understand themselves .	these cars understand herself .
the bowls worried themselves .	the bowls worried herself .
these shirts work with themselves .	these shirts work with himself .
the car had n't answered herself .	the car had n't answered themselves .
that bottle is n't talking to herself .	that bottle is n't talking to themselves .
this crayon scared himself .	this crayon scared themselves .
the bicycle will praise herself .	the bicycle will praise themselves .
that spoon helps himself .	that spoon helps themselves .
the crayons answered themselves .	the crayons answered himself .
the chair talks to herself .	the chair talks to themselves .
that box worked with himself .	that box worked with themselves .
those cups worked with themselves .	those cups worked with himself .
the shirt had n't helped himself .	the shirt had n't helped themselves .
the book could n't understand himself .	the book could n't understand themselves .
those chairs might understand themselves .	those chairs might understand himself .
the cups may listen to themselves .	the cups may listen to himself .
the candles did n't visit themselves .	the candles did n't visit himself .
the glasses taught themselves .	the glasses taught herself .
these toys have n't talked to themselves .	these toys have n't talked to herself .
the ring has confused herself .	the ring has confused themselves .
this rocket has n't confused herself .	this rocket has n't confused themselves .
that book lost herself .	that book lost themselves .
