the adult near the teachers is moving the pictures .	the adult near the teachers are moving the pictures .
those books near the car are n't breaking .	those books near the car is n't breaking .
that king next to the boys does n't yell .	that king next to the boys do n't yell .
this lady by the people does bother this girl .	this lady by the people do bother this girl .
this queen by the guys does n't know these girls .	this queen by the guys do n't know these girls .
the driver in front of the men is talking to this customer .	the driver in front of the men are talking to this customer .
that hamster next to the women has n't noticed this crayon .	that hamster next to the women have n't noticed this crayon .
that king in front of the women does shake this toy .	that king in front of the women do shake this toy .
this girl next to the girls has n't dropped the crayons .	this girl next to the girls have n't dropped the crayons .
that driver next to the guys has n't dropped the rug .	that driver next to the guys have n't dropped the rug .
those teachers next to the teacher have n't cried .	those teachers next to the teacher has n't cried .
that person by the boys is n't laughing .	that person by the boys are n't laughing .
the button by the buttons is breaking .	the button by the buttons are breaking .
that car by the doors does n't roll away .	that car by the doors do n't roll away .
these women next to the man were n't losing the cars .	these women next to the man was n't losing the cars .
that guy near the doctors was crying .	that guy near the doctors were crying .
these doctors next to the patient do help the doctor .	these doctors next to the patient does help the doctor .
these people behind the bird do hate the doors .	these people behind the bird does hate the doors .
this dentist behind the cats is growing .	this dentist behind the cats are growing .
this dentist by the children does n't lose .	this dentist by the children do n't lose .
the ladies near the child do n't sound like those cats .	the ladies near the child does n't sound like those cats .
these boys by the person do lose those bowls .	these boys by the person does lose those bowls .
this woman by the buttons does n't break the windows .	this woman by the buttons do n't break the windows .
this dog near the dogs does n't see this rug .	this dog near the dogs do n't see this rug .
these teachers in front of the mouse do hate this chair .	these teachers in front of the mouse does hate this chair .
the teacher by the doctors was n't crying .	the teacher by the doctors were n't crying .
these pictures by the cup do n't roll away .	these pictures by the cup does n't roll away .
this toy behind the boxes does n't move .	this toy behind the boxes do n't move .
the lady behind the horses does n't break the boat .	the lady behind the horses do n't break the boat .
those rabbits next to the bottle are n't breaking that ship .	those rabbits next to the bottle is n't breaking that ship .
these doctors in front of the adult are n't crying .	these doctors in front of the adult is n't crying .
these men by the patient do n't exercise .	these men by the patient does n't exercise .
the teacher by the doctors was moving the plane .	the teacher by the doctors were moving the plane .
those plates next to the glass do break the books .	those plates next to the glass does break the books .
those dishes by the cup do roll away .	those dishes by the cup does roll away .
these pictures next to the bottle do n't break .	these pictures next to the bottle does n't break .
the book behind the beds is n't breaking .	the book behind the beds are n't breaking .
this glass behind the spoons has broken the plates .	this glass behind the spoons have broken the plates .
these doctors next to the teacher have thought about those mice .	these doctors next to the teacher has thought about those mice .
those people near the bird are growing .	those people near the bird is growing .
that queen near the women does run around the school .	that queen near the women do run around the school .
that glass behind the horses is breaking that rug .	that glass behind the horses are breaking that rug .
the customer behind the ladies does run .	the customer behind the ladies do run .
those doctors behind the man were whispering .	those doctors behind the man was whispering .
the teachers behind the woman have laughed .	the teachers behind the woman has laughed .
the person near the rabbits has grown .	the person near the rabbits have grown .
these women behind the dog have n't thought about these people .	these women behind the dog has n't thought about these people .
the guys by the dancer were dropping the pictures .	the guys by the dancer was dropping the pictures .
the patient near the people has n't read .	the patient near the people have n't read .
those shirts by the dish have n't rolled away .	those shirts by the dish has n't rolled away .
the dancer next to the women has worried that king .	the dancer next to the women have worried that king .
those horses by the teacher do break those spoons .	those horses by the teacher does break those spoons .
the birds behind the turtle are n't thinking about this plate .	the birds behind the turtle is n't thinking about this plate .
this teacher by the teachers has n't found these dishes .	this teacher by the teachers have n't found these dishes .
those ladies in front of the guy are growing .	those ladies in front of the guy is growing .
the customer near the boys is n't crying .	the customer near the boys are n't crying .
those boys next to the king do n't cry .	those boys next to the king does n't cry .
that customer by the children has left that school .	that customer by the children have left that school .
that bird next to the ladies has n't thought about that truck .	that bird next to the ladies have n't thought about that truck .
the rabbit by the rabbits is n't thinking about that crayon .	the rabbit by the rabbits are n't thinking about that crayon .
these women next to the rabbit have learned .	these women next to the rabbit has learned .
these bags in front of the bottle do n't break this shoe .	these bags in front of the bottle does n't break this shoe .
these teachers in front of the boy were learning .	these teachers in front of the boy was learning .
the boys near the guy have n't dropped this bag .	the boys near the guy has n't dropped this bag .
these doctors in front of the doctor have n't remembered that boat .	these doctors in front of the doctor has n't remembered that boat .
