does that hat lose ?	do that hat lose ?
is the shirt reading ?	are the shirt reading ?
has n't this shirt heard these bowls ?	have n't this shirt heard these bowls ?
do the windows learn ?	does the windows learn ?
was this shirt holding those ladies ?	were this shirt holding those ladies ?
have the beds talked to the button ?	has the beds talked to the button ?
do n't those spoons read ?	does n't those spoons read ?
does n't the library teach that car ?	do n't the library teach that car ?
is n't that button dropping the men ?	are n't that button dropping the men ?
was this boat throwing those guys ?	were this boat throwing those guys ?
does that school sell this patient ?	do that school sell this patient ?
does n't that doll care for this mirror ?	do n't that doll care for this mirror ?
has that bowl eaten ?	have that bowl eaten ?
were those plates whispering ?	was those plates whispering ?
is n't that plane listening to the school ?	are n't that plane listening to the school ?
was that cup teaching that room ?	were that cup teaching that room ?
have n't the dolls bothered this doll ?	has n't the dolls bothered this doll ?
is that bag losing ?	are that bag losing ?
does n't that door clean the boy ?	do n't that door clean the boy ?
has this plate held this dancer ?	have this plate held this dancer ?
was n't this car waving ?	were n't this car waving ?
do those candles cry ?	does those candles cry ?
does n't the book talk ?	do n't the book talk ?
does n't this doll listen to these windows ?	do n't this doll listen to these windows ?
does this plane appreciate those crayons ?	do this plane appreciate those crayons ?
have those toys brought these men ?	has those toys brought these men ?
do n't the schools have the doctor ?	does n't the schools have the doctor ?
were those shoes running ?	was those shoes running ?
does the chair talk ?	do the chair talk ?
have those crayons thrown that guy ?	has those crayons thrown that guy ?
does that library sing ?	do that library sing ?
do n't these rooms know this window ?	does n't these rooms know this window ?
has n't that shoe worried that fork ?	have n't that shoe worried that fork ?
is n't the book bringing the adult ?	are n't the book bringing the adult ?
is this dish bringing this dentist ?	are this dish bringing this dentist ?
was that car shaking that adult ?	were that car shaking that adult ?
does the bicycle practice ?	do the bicycle practice ?
is n't that restaurant smiling ?	are n't that restaurant smiling ?
does that bicycle whisper ?	do that bicycle whisper ?
do n't the plates answer this picture ?	does n't the plates answer this picture ?
has n't the room taught the bowls ?	have n't the room taught the bowls ?
does n't the crayon learn ?	do n't the crayon learn ?
