the cup by the bed on the stool by the truck on the street by the book in the museum is brown .	the cup was by the bed on the stool by the truck on the street by the book in the museum is brown .
the book in the museum by the shirt on the couch by the toy by the door in the bank is expensive .	the book was in the museum by the shirt on the couch by the toy by the door in the bank is expensive .
the cup in the school by the rug on the stool in the kitchen in the school by the glass is missing .	the cup was in the school by the rug on the stool in the kitchen in the school by the glass is missing .
the crayon by the box on the couch on the table on the chair on the chair on the floor was broken .	the crayon is by the box on the couch on the table on the chair on the chair on the floor was broken .
the chair on the ground by the toy on the chair in the kitchen in the school on the chair was green .	the chair is on the ground by the toy on the chair in the kitchen in the school on the chair was green .
the shoe in the room on the stool in the library on the table on the couch on the ground was dry .	the shoe is in the room on the stool in the library on the table on the couch on the ground was dry .
the plate on the floor in the school on the table in the school by the ring on the chair is white .	the plate was on the floor in the school on the table in the school by the ring on the chair is white .
the shoe in the hospital on the table in the park in the kitchen in the park by the button is hot .	the shoe was in the hospital on the table in the park in the kitchen in the park by the button is hot .
the doll by the book in the mall in the school in the museum by the truck in the mall was new .	the doll is by the book in the mall in the school in the museum by the truck in the mall was new .
the doll by the bed by the chair in the school on the table in the library on the table was fine .	the doll is by the bed by the chair in the school on the table in the library on the table was fine .
the plate in the library by the spoon on the floor in the mall by the hat in the museum was purple .	the plate is in the library by the spoon on the floor in the mall by the hat in the museum was purple .
the rug in the school in the restaurant on the chair in the kitchen on the ground on the chair was big .	the rug is in the school in the restaurant on the chair in the kitchen on the ground on the chair was big .
the book by the button in the room on the couch by the cup by the rocket in the school was broken .	the book is by the button in the room on the couch by the cup by the rocket in the school was broken .
the hat on the couch by the candle by the door in the hospital by the doll by the shirt is purple .	the hat was on the couch by the candle by the door in the hospital by the doll by the shirt is purple .
the truck on the ground on the floor on the couch by the door on the chair by the bicycle is green .	the truck was on the ground on the floor on the couch by the door on the chair by the bicycle is green .
the picture on the street on the street on the stool in the mall on the chair on the stool is white .	the picture was on the street on the street on the stool in the mall on the chair on the stool is white .
the chair in the bank in the mall by the shirt on the street on the stool in the hospital was cool .	the chair is in the bank in the mall by the shirt on the street on the stool in the hospital was cool .
the fork in the room by the bed in the mall by the chair on the table by the shirt is cool .	the fork was in the room by the bed in the mall by the chair on the table by the shirt is cool .
the boat by the doll in the school on the stool by the mirror by the bowl by the car was amazing .	the boat is by the doll in the school on the stool by the mirror by the bowl by the car was amazing .
the toy by the couch in the school on the table in the kitchen by the ship by the candle is cute .	the toy was by the couch in the school on the table in the kitchen by the ship by the candle is cute .
the bowl by the window on the chair on the chair by the glass on the bed in the museum is purple .	the bowl was by the window on the chair on the chair by the glass on the bed in the museum is purple .
the shoe in the school in the bank by the truck by the mirror by the box on the couch is orange .	the shoe was in the school in the bank by the truck by the mirror by the box on the couch is orange .
the glass in the hospital by the bicycle by the ring in the hospital in the museum on the table is brown .	the glass was in the hospital by the bicycle by the ring in the hospital in the museum on the table is brown .
the window in the room on the stool on the chair on the couch on the floor by the button is black .	the window was in the room on the stool on the chair on the couch on the floor by the button is black .
the bowl by the rug by the doll by the candle in the museum in the museum in the school was broken .	the bowl is by the rug by the doll by the candle in the museum in the museum in the school was broken .
the book by the bed in the hospital on the couch in the school by the window by the ring was amazing .	the book is by the bed in the hospital on the couch in the school by the window by the ring was amazing .
the door on the floor on the ground on the couch on the stool on the floor in the restaurant is important .	the door was on the floor on the ground on the couch on the stool on the floor in the restaurant is important .
the crayon by the couch in the bank in the school in the school by the spoon on the chair was brown .	the crayon is by the couch in the bank in the school in the school by the spoon on the chair was brown .
the chair by the chair by the fork by the shoe in the school in the school by the shoe is broken .	the chair was by the chair by the fork by the shoe in the school in the school by the shoe is broken .
the truck on the couch on the street on the bed in the school by the door by the bottle is important .	the truck was on the couch on the street on the bed in the school by the door by the bottle is important .
the rocket by the box on the bed by the book in the museum on the chair on the couch is white .	the rocket was by the box on the bed by the book in the museum on the chair on the couch is white .
the bicycle on the street by the bed on the floor in the room in the room by the plane was hot .	the bicycle is on the street by the bed on the floor in the room in the room by the plane was hot .
the plane on the chair in the mall in the bank on the couch in the museum by the ring is red .	the plane was on the chair in the mall in the bank on the couch in the museum by the ring is red .
the bed on the couch in the mall in the school in the room by the crayon on the ground was brown .	the bed is on the couch in the mall in the school in the room by the crayon on the ground was brown .
the bowl on the street by the book on the chair in the museum on the street on the ground is green .	the bowl was on the street by the book on the chair in the museum on the street on the ground is green .
the bicycle on the street by the candle on the bed in the school on the floor in the hospital was small .	the bicycle is on the street by the candle on the bed in the school on the floor in the hospital was small .
the ring in the library in the museum in the library by the rocket by the glass on the street is yellow .	the ring was in the library in the museum in the library by the rocket by the glass on the street is yellow .
the box in the mall on the street by the fork in the library in the mall by the hat is expensive .	the box was in the mall on the street by the fork in the library in the mall by the hat is expensive .
the mirror in the school by the door by the spoon in the mall on the floor by the shoe was new .	the mirror is in the school by the door by the spoon in the mall on the floor by the shoe was new .
the bicycle by the picture on the bed by the car on the bed on the floor in the park is important .	the bicycle was by the picture on the bed by the car on the bed on the floor in the park is important .
the book in the restaurant by the bed by the shirt in the mall on the chair by the couch is awesome .	the book was in the restaurant by the bed by the shirt in the mall on the chair by the couch is awesome .
the bed on the bed by the dish by the car on the couch in the library by the window is cold .	the bed was on the bed by the dish by the car on the couch in the library by the window is cold .
the car on the table by the box by the fork in the restaurant in the park by the ring is broken .	the car was on the table by the box by the fork in the restaurant in the park by the ring is broken .
the book by the button in the museum by the truck on the ground on the ground in the kitchen is white .	the book was by the button in the museum by the truck on the ground on the ground in the kitchen is white .
the button on the table by the bicycle on the floor in the school on the street on the street was blue .	the button is on the table by the bicycle on the floor in the school on the street on the street was blue .
the bag by the book by the ship in the room by the fork by the door by the couch was white .	the bag is by the book by the ship in the room by the fork by the door by the couch was white .
the chair in the library by the shoe on the couch in the hospital on the stool on the chair is brown .	the chair was in the library by the shoe on the couch in the hospital on the stool on the chair is brown .
the dish in the mall by the car on the floor on the couch in the library in the school was small .	the dish is in the mall by the car on the floor on the couch in the library in the school was small .
the car in the restaurant by the plate in the museum by the ring in the kitchen on the bed was brown .	the car is in the restaurant by the plate in the museum by the ring in the kitchen on the bed was brown .
the rocket on the chair on the chair in the library by the rug in the restaurant on the couch is expensive .	the rocket was on the chair on the chair in the library by the rug in the restaurant on the couch is expensive .
the bowl by the book on the chair by the car in the hospital on the stool on the table is broken .	the bowl was by the book on the chair by the car in the hospital on the stool on the table is broken .
the candle by the truck on the stool in the school by the dish in the library by the box is gray .	the candle was by the truck on the stool in the school by the dish in the library by the box is gray .
the rocket by the window by the book by the door by the fork in the school by the bed was whole .	the rocket is by the window by the book by the door by the fork in the school by the bed was whole .
the bottle by the fork in the park by the car in the park by the bicycle in the school was green .	the bottle is by the fork in the park by the car in the park by the bicycle in the school was green .
the rocket by the plane by the bed on the stool in the bank in the bank by the car was big .	the rocket is by the plane by the bed on the stool in the bank in the bank by the car was big .
the toy in the school by the window by the plate in the museum on the floor in the school was small .	the toy is in the school by the window by the plate in the museum on the floor in the school was small .
the plane in the hospital in the room in the kitchen in the kitchen in the museum on the bed is brown .	the plane was in the hospital in the room in the kitchen in the kitchen in the museum on the bed is brown .
the crayon on the ground in the museum on the street on the floor in the mall by the plate was missing .	the crayon is on the ground in the museum on the street on the floor in the mall by the plate was missing .
the plane in the hospital by the couch by the shirt by the plate in the restaurant in the school is great .	the plane was in the hospital by the couch by the shirt by the plate in the restaurant in the school is great .
the toy by the ring by the shirt in the hospital in the school by the chair in the room is hot .	the toy was by the ring by the shirt in the hospital in the school by the chair in the room is hot .
the truck on the stool on the table on the couch by the doll in the school in the library is fine .	the truck was on the stool on the table on the couch by the doll in the school in the library is fine .
the cup by the fork by the shoe in the hospital in the kitchen by the box on the stool is old .	the cup was by the fork by the shoe in the hospital in the kitchen by the box on the stool is old .
the cup by the fork by the car in the museum by the door by the car in the bank was great .	the cup is by the fork by the car in the museum by the door by the car in the bank was great .
the couch by the chair on the ground on the street in the school by the rug by the mirror was brown .	the couch is by the chair on the ground on the street in the school by the rug by the mirror was brown .
the fork in the park by the bag by the doll on the chair in the restaurant by the ship is fine .	the fork was in the park by the bag by the doll on the chair in the restaurant by the ship is fine .
the crayon by the ring in the kitchen by the glass on the bed by the mirror on the stool is green .	the crayon was by the ring in the kitchen by the glass on the bed by the mirror on the stool is green .
the shoe in the room by the bicycle in the bank in the park on the chair on the chair is brown .	the shoe was in the room by the bicycle in the bank in the park on the chair on the chair is brown .
the spoon in the park by the plate in the mall on the chair in the school by the rocket was broken .	the spoon is in the park by the plate in the mall on the chair in the school by the rocket was broken .
the window on the chair in the restaurant by the chair on the couch on the stool on the bed is expensive .	the window was on the chair in the restaurant by the chair on the couch on the stool on the bed is expensive .
the shoe on the street on the street by the candle in the school in the museum on the ground is missing .	the shoe was on the street on the street by the candle in the school in the museum on the ground is missing .
the ring on the table in the library by the cup on the ground in the museum on the bed was boring .	the ring is on the table in the library by the cup on the ground in the museum on the bed was boring .
the button on the street in the school on the ground by the spoon by the dish on the ground is missing .	the button was on the street in the school on the ground by the spoon by the dish on the ground is missing .
the button by the cup by the truck on the bed in the kitchen in the library by the button is awesome .	the button was by the cup by the truck on the bed in the kitchen in the library by the button is awesome .
the window in the park on the couch on the bed by the mirror on the chair in the school is yellow .	the window was in the park on the couch on the bed by the mirror on the chair in the school is yellow .
the ring on the floor in the restaurant on the chair in the museum in the hospital on the stool is cute .	the ring was on the floor in the restaurant on the chair in the museum in the hospital on the stool is cute .
the couch in the kitchen in the mall by the cup by the boat on the street in the kitchen is red .	the couch was in the kitchen in the mall by the cup by the boat on the street in the kitchen is red .
the spoon in the bank in the mall in the hospital by the fork in the school by the window was dry .	the spoon is in the bank in the mall in the hospital by the fork in the school by the window was dry .
the window on the stool in the hospital in the school on the ground by the bag in the school is purple .	the window was on the stool in the hospital in the school on the ground by the bag in the school is purple .
the box on the chair on the floor in the library on the bed in the park on the table is amazing .	the box was on the chair on the floor in the library on the bed in the park on the table is amazing .
the cup in the school in the restaurant by the cup in the hospital by the ring on the street was expensive .	the cup is in the school in the restaurant by the cup in the hospital by the ring on the street was expensive .
the chair by the chair on the ground on the table by the bicycle on the bed on the couch is cute .	the chair was by the chair on the ground on the table by the bicycle on the bed on the couch is cute .
the bowl in the park on the table in the hospital by the chair in the room by the truck is dry .	the bowl was in the park on the table in the hospital by the chair in the room by the truck is dry .
the plate by the bicycle on the street on the ground on the bed on the table in the restaurant is yellow .	the plate was by the bicycle on the street on the ground on the bed on the table in the restaurant is yellow .
the rug in the school by the ship in the museum by the window in the room by the toy is hot .	the rug was in the school by the ship in the museum by the window in the room by the toy is hot .
the picture on the chair in the school in the restaurant by the book on the street on the chair was expensive .	the picture is on the chair in the school in the restaurant by the book on the street on the chair was expensive .
the crayon in the museum by the chair in the kitchen in the restaurant by the window in the restaurant is hot .	the crayon was in the museum by the chair in the kitchen in the restaurant by the window in the restaurant is hot .
the car by the spoon in the restaurant on the couch by the doll in the school by the couch is gray .	the car was by the spoon in the restaurant on the couch by the doll in the school by the couch is gray .
the glass on the ground on the floor by the toy in the school in the hospital on the table is big .	the glass was on the ground on the floor by the toy in the school in the hospital on the table is big .
the bowl on the stool on the chair by the shirt by the box on the floor in the mall is important .	the bowl was on the stool on the chair by the shirt by the box on the floor in the mall is important .
the plate in the restaurant by the book by the box on the stool by the shoe by the bottle was great .	the plate is in the restaurant by the book by the box on the stool by the shoe by the bottle was great .
the door on the street by the book in the mall by the crayon in the mall in the restaurant is broken .	the door was on the street by the book in the mall by the crayon in the mall in the restaurant is broken .
the chair on the street by the box in the park on the street on the stool by the rug was small .	the chair is on the street by the box in the park on the street on the stool by the rug was small .
the rocket by the couch in the bank in the restaurant in the library by the glass in the park was hot .	the rocket is by the couch in the bank in the restaurant in the library by the glass in the park was hot .
the chair by the spoon on the floor in the bank on the floor in the kitchen in the school is great .	the chair was by the spoon on the floor in the bank on the floor in the kitchen in the school is great .
the door in the library on the chair on the couch on the chair in the restaurant in the library is missing .	the door was in the library on the chair on the couch on the chair in the restaurant in the library is missing .
the ring in the bank on the bed on the couch in the bank in the restaurant on the table was boring .	the ring is in the bank on the bed on the couch in the bank in the restaurant on the table was boring .
the ship in the kitchen by the rug by the doll by the bowl by the spoon by the book is whole .	the ship was in the kitchen by the rug by the doll by the bowl by the spoon by the book is whole .
the shoe on the stool in the hospital on the bed on the bed on the bed in the school is broken .	the shoe was on the stool in the hospital on the bed on the bed on the bed in the school is broken .
the door in the hospital on the bed by the window by the door on the couch in the bank is black .	the door was in the hospital on the bed by the window by the door on the couch in the bank is black .
the candle in the school by the bicycle in the bank in the museum in the kitchen by the candle is hot .	the candle was in the school by the bicycle in the bank in the museum in the kitchen by the candle is hot .
the button on the stool in the hospital by the chair in the school by the bowl in the school was amazing .	the button is on the stool in the hospital by the chair in the school by the bowl in the school was amazing .
the bottle in the hospital by the picture in the mall by the glass on the ground in the school was dry .	the bottle is in the hospital by the picture in the mall by the glass on the ground in the school was dry .
the hat on the street on the bed on the stool on the floor on the ground on the table was big .	the hat is on the street on the bed on the stool on the floor on the ground on the table was big .
the mirror by the book in the library in the school in the restaurant on the chair by the plate is small .	the mirror was by the book in the library in the school in the restaurant on the chair by the plate is small .
the glass in the room on the table on the floor on the floor in the school in the hospital was cool .	the glass is in the room on the table on the floor on the floor in the school in the hospital was cool .
the fork by the shoe in the restaurant in the room in the school in the museum by the car is gray .	the fork was by the shoe in the restaurant in the room in the school in the museum by the car is gray .
