the man sings really really slowly .	the man was really really slowly .
the customer reads really really perfectly .	the customer was really really perfectly .
the child exercises really really quickly .	the child was really really quickly .
the guy paints carefully .	the guy is carefully .
the girl talks very carefully .	the girl was very carefully .
the dentist exercises really really slowly .	the dentist was really really slowly .
the woman cries perfectly .	the woman was perfectly .
the woman sings perfectly .	the woman is perfectly .
the adult cries very very quietly .	the adult is very very quietly .
the teacher paints quietly .	the teacher was quietly .
the king sings very quietly .	the king is very quietly .
the man talks perfectly .	the man was perfectly .
the man talks very very carefully .	the man was very very carefully .
the driver exercises really really carefully .	the driver was really really carefully .
the woman reads very slowly .	the woman is very slowly .
the customer cries quickly .	the customer is quickly .
the lady waves really really quickly .	the lady is really really quickly .
the boy paints really quickly .	the boy was really quickly .
the man cries slowly .	the man is slowly .
the king cries very very perfectly .	the king was very very perfectly .
the boy exercises carefully .	the boy is carefully .
the queen sings very slowly .	the queen was very slowly .
the child exercises really slowly .	the child was really slowly .
the guy cries slowly .	the guy is slowly .
the guy paints really really carefully .	the guy was really really carefully .
the girl sings very very quietly .	the girl was very very quietly .
the dentist sings very very carefully .	the dentist was very very carefully .
the doctor waves quietly .	the doctor was quietly .
the adult sings really really quickly .	the adult is really really quickly .
the dancer paints very very slowly .	the dancer was very very slowly .
the doctor exercises really really slowly .	the doctor was really really slowly .
the king cries really slowly .	the king is really slowly .
the girl paints really perfectly .	the girl is really perfectly .
the teacher paints very quickly .	the teacher is very quickly .
the person sings really slowly .	the person is really slowly .
the man sings really quickly .	the man was really quickly .
the dancer talks very carefully .	the dancer was very carefully .
the driver sings very very perfectly .	the driver was very very perfectly .
the guy talks really slowly .	the guy is really slowly .
the guy sings quickly .	the guy is quickly .
the person exercises really really quietly .	the person is really really quietly .
the dancer paints quietly .	the dancer is quietly .
the king sings really really quietly .	the king is really really quietly .
the dancer reads slowly .	the dancer was slowly .
the guy talks quietly .	the guy is quietly .
the person sings very very quietly .	the person is very very quietly .
the driver talks carefully .	the driver is carefully .
the teacher waves really really slowly .	the teacher is really really slowly .
the boy cries carefully .	the boy was carefully .
the customer reads carefully .	the customer was carefully .
the lady talks very very quietly .	the lady was very very quietly .
the driver cries very very carefully .	the driver is very very carefully .
the king waves slowly .	the king was slowly .
the girl sings very very carefully .	the girl is very very carefully .
the patient waves very very carefully .	the patient is very very carefully .
the girl reads very slowly .	the girl was very slowly .
the lady exercises really really quietly .	the lady is really really quietly .
the customer exercises very perfectly .	the customer was very perfectly .
the man exercises quickly .	the man is quickly .
the lady cries very carefully .	the lady is very carefully .
the person reads very quickly .	the person is very quickly .
the patient exercises perfectly .	the patient was perfectly .
the dancer sings really carefully .	the dancer was really carefully .
the teacher sings really really perfectly .	the teacher is really really perfectly .
the girl reads really quietly .	the girl was really quietly .
the doctor reads slowly .	the doctor was slowly .
the customer cries really really quickly .	the customer is really really quickly .
the guy reads quietly .	the guy is quietly .
the lady sings slowly .	the lady was slowly .
the boy waves very perfectly .	the boy was very perfectly .
the person talks very slowly .	the person was very slowly .
the boy reads slowly .	the boy was slowly .
the man reads very carefully .	the man was very carefully .
the patient exercises really really slowly .	the patient is really really slowly .
the teacher sings quickly .	the teacher was quickly .
the king sings quickly .	the king is quickly .
the doctor waves quietly .	the doctor is quietly .
the dancer cries carefully .	the dancer was carefully .
the teacher reads very slowly .	the teacher was very slowly .
the person paints really slowly .	the person is really slowly .
the doctor waves really quickly .	the doctor was really quickly .
the king talks very very quietly .	the king is very very quietly .
the teacher paints very very quickly .	the teacher was very very quickly .
the boy reads very quietly .	the boy is very quietly .
the doctor cries very quickly .	the doctor is very quickly .
the lady paints quickly .	the lady is quickly .
the girl talks very perfectly .	the girl was very perfectly .
the queen reads quietly .	the queen is quietly .
the child sings really slowly .	the child was really slowly .
the dentist paints very quietly .	the dentist is very quietly .
the boy talks quietly .	the boy is quietly .
the queen exercises really really carefully .	the queen was really really carefully .
the doctor paints very very perfectly .	the doctor was very very perfectly .
the king cries very slowly .	the king was very slowly .
the girl reads really carefully .	the girl was really carefully .
the doctor talks very very quickly .	the doctor was very very quickly .
the adult reads slowly .	the adult was slowly .
the dentist waves very perfectly .	the dentist is very perfectly .
the doctor paints really really perfectly .	the doctor was really really perfectly .
the customer reads very very carefully .	the customer is very very carefully .
the customer cries very quickly .	the customer was very quickly .
the adult reads very very slowly .	the adult is very very slowly .
the child cries very very quickly .	the child was very very quickly .
the adult exercises slowly .	the adult was slowly .
the dentist waves very perfectly .	the dentist was very perfectly .
the boy reads quietly .	the boy was quietly .
the boy talks really carefully .	the boy was really carefully .
the queen cries quietly .	the queen was quietly .
the dentist paints slowly .	the dentist was slowly .
the child cries carefully .	the child was carefully .
the man paints really perfectly .	the man was really perfectly .
the patient exercises carefully .	the patient is carefully .
the adult reads very slowly .	the adult was very slowly .
the guy reads very perfectly .	the guy is very perfectly .
the doctor exercises carefully .	the doctor is carefully .
the dentist cries slowly .	the dentist is slowly .
