those books smile .	those books hate .
these shirts had yelled .	these shirts had bothered .
this spoon will whisper .	this spoon will scare .
these hats had talked .	these hats had confused .
those books could talk .	those books could like .
those glasses lie .	those glasses praise .
the toy should n't lie .	the toy should n't hate .
the boat is yelling .	the boat is bothering .
the cup does n't smile .	the cup does n't appreciate .
those plates yell .	those plates like .
these books can n't scream .	these books can n't praise .
this rocket had laughed .	this rocket had confused .
this button must whisper .	this button must like .
these beds laughed .	these beds liked .
this rug is whispering .	this rug is bothering .
that bag has talked .	that bag has liked .
that doll must laugh .	that doll must appreciate .
the cars yelled .	the cars bothered .
these windows cough .	these windows scare .
those doors laughed .	those doors confused .
the hats may smile .	the hats may like .
the dolls cough .	the dolls appreciate .
the glass did n't talk .	the glass did n't scare .
the toys cough .	the toys praise .
those shirts will cough .	those shirts will like .
the hats will whisper .	the hats will hate .
this mirror talked .	this mirror bothered .
those dolls could n't yell .	those dolls could n't scare .
this rocket does n't yell .	this rocket does n't bother .
those cars had n't talked .	those cars had n't scared .
the bottle yelled .	the bottle scared .
these crayons had n't talked .	these crayons had n't bothered .
the book talks .	the book scares .
this truck laughed .	this truck confused .
the bottle does n't laugh .	the bottle does n't bother .
the spoon was smiling .	the spoon was bothering .
those crayons would yell .	those crayons would bother .
this hat could n't lie .	this hat could n't praise .
the plates laugh .	the plates hate .
this book must talk .	this book must bother .
those glasses had n't laughed .	those glasses had n't liked .
those candles whisper .	those candles scare .
that book must lie .	that book must bother .
the chairs yell .	the chairs like .
the hat will yell .	the hat will praise .
these bottles lie .	these bottles appreciate .
those boats scream .	those boats praise .
the doors can laugh .	the doors can praise .
this book might whisper .	this book might hate .
that shoe wo n't lie .	that shoe wo n't appreciate .
those bags sneeze .	those bags praise .
that book would n't whisper .	that book would n't praise .
those crayons can scream .	those crayons can like .
the chairs lie .	the chairs appreciate .
the shirts will sneeze .	the shirts will scare .
those beds were whispering .	those beds were bothering .
the book was n't whispering .	the book was n't bothering .
these shoes could cough .	these shoes could scare .
this picture may lie .	this picture may like .
the shoes can n't talk .	the shoes can n't scare .
this car would sneeze .	this car would praise .
the beds should talk .	the beds should bother .
these bowls might scream .	these bowls might bother .
those bowls cough .	those bowls appreciate .
this shoe can n't talk .	this shoe can n't bother .
these boats can n't whisper .	these boats can n't bother .
those candles lie .	those candles praise .
those windows would whisper .	those windows would praise .
this fork did n't smile .	this fork did n't like .
these dolls sneeze .	these dolls appreciate .
those pictures yell .	those pictures praise .
those candles could n't yell .	those candles could n't praise .
this spoon can n't laugh .	this spoon can n't like .
the spoon talked .	the spoon scared .
those cars have n't laughed .	those cars have n't scared .
that plane might talk .	that plane might like .
the bed will talk .	the bed will scare .
those glasses may whisper .	those glasses may hate .
these hats scream .	these hats scare .
this shoe might scream .	this shoe might like .
those dolls sneeze .	those dolls appreciate .
these dolls laugh .	these dolls praise .
these toys laugh .	these toys bother .
the books cough .	the books appreciate .
that chair can n't sneeze .	that chair can n't appreciate .
those dishes scream .	those dishes like .
that door had n't laughed .	that door had n't liked .
the bags yell .	the bags hate .
that plane must cough .	that plane must praise .
the couch yelled .	the couch liked .
those buttons laugh .	those buttons scare .
those bottles laughed .	those bottles scared .
those bowls are n't whispering .	those bowls are n't bothering .
the rug had laughed .	the rug had confused .
those forks could laugh .	those forks could bother .
the cups would smile .	the cups would appreciate .
those cars would sneeze .	those cars would bother .
the cup is n't whispering .	the cup is n't bothering .
this button talks .	this button likes .
these crayons talk .	these crayons bother .
this glass yelled .	this glass liked .
these beds must talk .	these beds must appreciate .
these shirts can lie .	these shirts can praise .
this ring talked .	this ring liked .
the plates have n't laughed .	the plates have n't confused .
the hat had talked .	the hat had scared .
those candles smile .	those candles bother .
the plates must talk .	the plates must bother .
those hats yell .	those hats like .
this boat has talked .	this boat has liked .
those doors would n't smile .	those doors would n't hate .
these bags were yelling .	these bags were bothering .
those boats talked .	those boats liked .
those rings have talked .	those rings have liked .
the toy has n't talked .	the toy has n't bothered .
these doors may scream .	these doors may praise .
those glasses sneeze .	those glasses like .
these cars cough .	these cars like .
that ship has talked .	that ship has confused .
this hat should n't whisper .	this hat should n't praise .
this plate was smiling .	this plate was bothering .
the buttons do n't whisper .	the buttons do n't scare .
those boats talk .	those boats appreciate .
the spoon talks .	the spoon scares .
the dolls lie .	the dolls like .
the bag yelled .	the bag confused .
those cups had yelled .	those cups had liked .
these rings should n't lie .	these rings should n't like .
these doors would n't sneeze .	these doors would n't hate .
the glass is n't talking .	the glass is n't bothering .
these cars talk .	these cars scare .
these bags have n't talked .	these bags have n't scared .
this box did n't scream .	this box did n't bother .
that bed does n't talk .	that bed does n't like .
those trucks laugh .	those trucks scare .
that bed yelled .	that bed confused .
those bags yell .	those bags bother .
the buttons have yelled .	the buttons have bothered .
the chair has laughed .	the chair has liked .
the rug was whispering .	the rug was bothering .
the car laughed .	the car liked .
these books will smile .	these books will praise .
these hats lie .	these hats praise .
those buttons had n't talked .	those buttons had n't confused .
the crayons can smile .	the crayons can appreciate .
the boat is smiling .	the boat is bothering .
the forks laughed .	the forks confused .
those books laugh .	those books bother .
the crayon had laughed .	the crayon had confused .
those glasses cough .	those glasses like .
these rings could n't whisper .	these rings could n't bother .
the bowl might yell .	the bowl might like .
