that bicycle near the ladies was n't talking to that car .	that bicycle near the ladies were n't talking to that car .
the chair by the teachers is n't teaching that crayon .	the chair by the teachers are n't teaching that crayon .
those dishes next to the woman do win .	those dishes next to the woman does win .
the chairs next to the boy do n't read .	the chairs next to the boy does n't read .
the pictures in front of the dentist do n't scare those schools .	the pictures in front of the dentist does n't scare those schools .
the door next to the teachers has n't answered the cars .	the door next to the teachers have n't answered the cars .
those doors in front of the driver do scare this car .	those doors in front of the driver does scare this car .
those plates next to the guy do talk .	those plates next to the guy does talk .
that picture in front of the boys does paint .	that picture in front of the boys do paint .
these bags behind the doctor do n't practice .	these bags behind the doctor does n't practice .
the buttons by the woman have answered the trucks .	the buttons by the woman has answered the trucks .
the spoons behind the doctor were making that girl .	the spoons behind the doctor was making that girl .
the boats by the dancer have n't waved .	the boats by the dancer has n't waved .
those dolls near the doctor do n't grow .	those dolls near the doctor does n't grow .
the plate next to the children was practicing .	the plate next to the children were practicing .
the bed by the ladies does sell this girl .	the bed by the ladies do sell this girl .
the park in front of the ladies is n't helping the couch .	the park in front of the ladies are n't helping the couch .
the toys near the horse do n't eat .	the toys near the horse does n't eat .
that picture behind the men has lost .	that picture behind the men have lost .
the rooms behind the teacher have heard those spoons .	the rooms behind the teacher has heard those spoons .
these windows next to the child have lost that dancer .	these windows next to the child has lost that dancer .
the books behind the teacher are growing .	the books behind the teacher is growing .
the window behind the men has n't worked with the candle .	the window behind the men have n't worked with the candle .
those bottles in front of the patient do n't understand that toy .	those bottles in front of the patient does n't understand that toy .
those cups near the woman do visit this bottle .	those cups near the woman does visit this bottle .
the book behind the men was n't buying the adult .	the book behind the men were n't buying the adult .
that room next to the doctors was yelling .	that room next to the doctors were yelling .
the bottle in front of the ladies does care for the candle .	the bottle in front of the ladies do care for the candle .
the doors behind the man have cried .	the doors behind the man has cried .
the car near the children does n't help this rug .	the car near the children do n't help this rug .
that couch near the women was n't losing the doctors .	that couch near the women were n't losing the doctors .
those doors behind the mouse have grown .	those doors behind the mouse has grown .
those plates near the king do n't sneeze .	those plates near the king does n't sneeze .
the toy near the teachers is n't listening to this dish .	the toy near the teachers are n't listening to this dish .
the chairs by the dancer were helping this room .	the chairs by the dancer was helping this room .
this button in front of the guys is painting .	this button in front of the guys are painting .
these bowls near the lady do n't sell this guy .	these bowls near the lady does n't sell this guy .
those windows near the doctor have n't thrown this boy .	those windows near the doctor has n't thrown this boy .
the mirror behind the teachers is crying .	the mirror behind the teachers are crying .
that plane behind the women is n't helping that restaurant .	that plane behind the women are n't helping that restaurant .
the car behind the snakes was n't eating .	the car behind the snakes were n't eating .
