have the ladies yelled ?	have the lady yelled ?
do n't the women hold these spoons ?	do n't the woman hold these spoons ?
do the women leave this mall ?	do the woman leave this mall ?
does the person answer the patient ?	does the people answer the patient ?
is the cup dropping ?	is the cups dropping ?
does n't the window break these hats ?	does n't the windows break these hats ?
are the windows breaking the boxes ?	are the window breaking the boxes ?
does n't the woman lose those chairs ?	does n't the women lose those chairs ?
were n't the ladies helping the ladies ?	were n't the lady helping the ladies ?
does n't the teacher grow ?	does n't the teachers grow ?
have the doctors worked with the people ?	have the doctor worked with the people ?
does the guy throw that car ?	does the guys throw that car ?
do n't the cats see this fork ?	do n't the cat see this fork ?
is the toy moving ?	is the toys moving ?
do the women yell ?	do the woman yell ?
does n't the teacher bring those beds ?	does n't the teachers bring those beds ?
is n't the hat breaking the toy ?	is n't the hats breaking the toy ?
has n't the box broken ?	has n't the boxes broken ?
do the people lose those toys ?	do the person lose those toys ?
do n't the children bring the window ?	do n't the child bring the window ?
has n't the spoon broken ?	has n't the spoons broken ?
was n't the window breaking ?	was n't the windows breaking ?
is the bag moving ?	is the bags moving ?
were the books moving ?	were the book moving ?
does the guy answer the men ?	does the guys answer the men ?
is the guy learning ?	is the guys learning ?
was the boy making these shoes ?	was the boys making these shoes ?
does the man steal these rings ?	does the men steal these rings ?
does n't the woman understand the men ?	does n't the women understand the men ?
was n't the woman working with the ladies ?	was n't the women working with the ladies ?
have n't the spoons rolled away ?	have n't the spoon rolled away ?
do the guys leave the kitchen ?	do the guy leave the kitchen ?
has the woman heard those women ?	has the women heard those women ?
does n't the crayon roll away ?	does n't the crayons roll away ?
has n't the child taught the teachers ?	has n't the children taught the teachers ?
were n't the people visiting this patient ?	were n't the person visiting this patient ?
do n't the ladies clean the buttons ?	do n't the lady clean the buttons ?
do the ladies learn ?	do the lady learn ?
has n't the boy lost the guys ?	has n't the boys lost the guys ?
do the doctors lose those toys ?	do the doctor lose those toys ?
has n't the girl confused the teachers ?	has n't the girls confused the teachers ?
has n't the man scared those guys ?	has n't the men scared those guys ?
does the truck break ?	does the trucks break ?
have the plates broken ?	have the plate broken ?
is n't the doctor shaking those glasses ?	is n't the doctors shaking those glasses ?
was n't the lady losing ?	was n't the ladies losing ?
has the girl talked ?	has the girls talked ?
have n't the people learned ?	have n't the person learned ?
