we bought Kristen the toy .	Kristen bought we the toy .
she bought my daughter the glass .	my daughter bought she the glass .
she showed the queen the cups .	the queen showed she the cups .
we gave your husband the bicycle .	your husband gave we the bicycle .
we showed Janet the spoon .	Janet showed we the spoon .
they sent your son the toy .	your son sent they the toy .
I showed Alice the rocket .	Alice showed I the rocket .
she sent Peter the car .	Peter sent she the car .
she showed the queen the beds .	the queen showed she the beds .
we bought Wendy the window .	Wendy bought we the window .
we gave my husband the rocket .	my husband gave we the rocket .
we showed that girl the dolls .	that girl showed we the dolls .
he sent Guy the boat .	Guy sent he the boat .
I sent this king the spoon .	this king sent I the spoon .
they gave that adult the windows .	that adult gave they the windows .
I bought your wife the shirts .	your wife bought I the shirts .
we gave my dentist the shirt .	my dentist gave we the shirt .
we bought Paul the bicycle .	Paul bought we the bicycle .
they bought Peter the rings .	Peter bought they the rings .
he gave Susan the doors .	Susan gave he the doors .
they showed your sister the chairs .	your sister showed they the chairs .
she gave my sister the candles .	my sister gave she the candles .
she sent that woman the rocket .	that woman sent she the rocket .
she bought that lady the bowl .	that lady bought she the bowl .
we sent my dad the mirror .	my dad sent we the mirror .
we showed your brother the bags .	your brother showed we the bags .
they sent Carl the rug .	Carl sent they the rug .
I gave my mom the chair .	my mom gave I the chair .
she showed Brett the button .	Brett showed she the button .
he bought Jane the rings .	Jane bought he the rings .
she sent your grandmother the fork .	your grandmother sent she the fork .
I bought my mother the bowl .	my mother bought I the bowl .
they sent the girl the windows .	the girl sent they the windows .
I bought Adam the door .	Adam bought I the door .
he gave that queen the windows .	that queen gave he the windows .
I bought that man the glasses .	that man bought I the glasses .
she showed that adult the door .	that adult showed she the door .
they gave the teacher the windows .	the teacher gave they the windows .
she showed this doctor the books .	this doctor showed she the books .
she bought James the window .	James bought she the window .
she showed Donna the ship .	Donna showed she the ship .
we gave April the candle .	April gave we the candle .
he bought this customer the beds .	this customer bought he the beds .
I showed Carl the bicycle .	Carl showed I the bicycle .
I showed the teacher the doll .	the teacher showed I the doll .
