my doctors forget what that driver made .	my doctors forget that that driver made .
the doctors have n't known what this child did n't fix .	the doctors have n't known that this child did n't fix .
Brian sees who the girl wo n't hate .	Brian sees that the girl wo n't hate .
Ann had n't seen what the doctor would n't find .	Ann had n't seen that the doctor would n't find .
my cousins saw what these ladies held .	my cousins saw that these ladies held .
the children knew who that teacher can like .	the children knew that that teacher can like .
my friends had n't known who the ladies do n't scare .	my friends had n't known that the ladies do n't scare .
your sister should n't learn what this woman had held .	your sister should n't learn that this woman had held .
your son knew who this teacher had n't bothered .	your son knew that this teacher had n't bothered .
the doctors knew who those men are n't bothering .	the doctors knew that those men are n't bothering .
those children noticed what the queen has n't made .	those children noticed that the queen has n't made .
the doctors have n't learned what this customer is n't buying .	the doctors have n't learned that this customer is n't buying .
the doctors have noticed what these ladies were bringing .	the doctors have noticed that these ladies were bringing .
Michelle had known who that woman should n't appreciate .	Michelle had known that that woman should n't appreciate .
these teachers forget who that man should bother .	these teachers forget that that man should bother .
the teachers can n't remember who those boys would n't scare .	the teachers can n't remember that those boys would n't scare .
my teachers have seen what this child was buying .	my teachers have seen that this child was buying .
the children remembered what that queen held .	the children remembered that that queen held .
your cousins had n't realized what these teachers make .	your cousins had n't realized that these teachers make .
the people would n't remember what the woman took .	the people would n't remember that the woman took .
those teachers had realized who this customer scared .	those teachers had realized that this customer scared .
my friends could n't realize who these girls like .	my friends could n't realize that these girls like .
these children had noticed who that person would n't praise .	these children had noticed that that person would n't praise .
these children can n't know what this lady must steal .	these children can n't know that this lady must steal .
my doctors have remembered who those men are n't bothering .	my doctors have remembered that those men are n't bothering .
your son had seen who the children like .	your son had seen that the children like .
the doctors have remembered who this teacher would appreciate .	the doctors have remembered that this teacher would appreciate .
my teachers would n't forget who the doctors confused .	my teachers would n't forget that the doctors confused .
my doctors noticed what the teachers are bringing .	my doctors noticed that the teachers are bringing .
this woman must know what that driver wo n't sell .	this woman must know that that driver wo n't sell .
my cousins will notice what the child fixed .	my cousins will notice that the child fixed .
David can realize who the guy bothered .	David can realize that the guy bothered .
your cousins had n't remembered what the dancer should make .	your cousins had n't remembered that the dancer should make .
the people learn who these boys had n't liked .	the people learn that these boys had n't liked .
this guy did n't know what that child had made .	this guy did n't know that that child had made .
Jill sees what those children were n't taking .	Jill sees that those children were n't taking .
your cousins have n't learned who this guy scares .	your cousins have n't learned that this guy scares .
the teachers realize who the doctors have n't confused .	the teachers realize that the doctors have n't confused .
your daughter had n't realized what this lady will find .	your daughter had n't realized that this lady will find .
Aaron did n't know what the adult might keep .	Aaron did n't know that the adult might keep .
the man sees who that queen confused .	the man sees that that queen confused .
these doctors would learn what those children keep .	these doctors would learn that those children keep .
your husband would n't see what those teachers hold .	your husband would n't see that those teachers hold .
your teachers had realized who this doctor likes .	your teachers had realized that this doctor likes .
my teachers noticed who these people had n't confused .	my teachers noticed that these people had n't confused .
Catherine realized who those women had n't bothered .	Catherine realized that those women had n't bothered .
these doctors would n't know who the girl bothered .	these doctors would n't know that the girl bothered .
the man had n't learned what that driver brought .	the man had n't learned that that driver brought .
Mark learned what these doctors found .	Mark learned that these doctors found .
your friends see who the children hate .	your friends see that the children hate .
these children have n't remembered who the men can scare .	these children have n't remembered that the men can scare .
those children had n't noticed what the doctor has brought .	those children had n't noticed that the doctor has brought .
my doctors knew who this child might scare .	my doctors knew that this child might scare .
those children realize who the king had confused .	those children realize that the king had confused .
these children have known what these teachers stole .	these children have known that these teachers stole .
William would remember who those people confused .	William would remember that those people confused .
Brett had noticed what that adult has fixed .	Brett had noticed that that adult has fixed .
those people have learned what the doctors found .	those people have learned that the doctors found .
this man can n't remember who those people had liked .	this man can n't remember that those people had liked .
the people forgot what this queen must bring .	the people forgot that this queen must bring .
that woman realized what this guy found .	that woman realized that this guy found .
your friends have learned who these guys praise .	your friends have learned that these guys praise .
these children will know what the lady did n't make .	these children will know that the lady did n't make .
your sister remembered what the guys would fix .	your sister remembered that the guys would fix .
these people learn what these men were keeping .	these people learn that these men were keeping .
those people knew what the dentist could n't fix .	those people knew that the dentist could n't fix .
your husband might remember what these children had n't bought .	your husband might remember that these children had n't bought .
the children can see what these doctors brought .	the children can see that these doctors brought .
Erin noticed who these men will scare .	Erin noticed that these men will scare .
that guy saw who those children will appreciate .	that guy saw that those children will appreciate .
these teachers notice what the boys take .	these teachers notice that the boys take .
these people forgot who that woman scared .	these people forgot that that woman scared .
your teachers remembered what these boys were n't buying .	your teachers remembered that these boys were n't buying .
these doctors forgot what this patient could fix .	these doctors forgot that this patient could fix .
this man realized what the guy can bring .	this man realized that the guy can bring .
Susan forgot what the children held .	Susan forgot that the children held .
your doctors learned what the girl fixed .	your doctors learned that the girl fixed .
your doctors can n't realize who this patient scared .	your doctors can n't realize that this patient scared .
my teachers knew who this guy was bothering .	my teachers knew that this guy was bothering .
these doctors remembered what that boy took .	these doctors remembered that that boy took .
my friends have n't learned who these girls scared .	my friends have n't learned that these girls scared .
that guy has n't learned what the driver keeps .	that guy has n't learned that the driver keeps .
my teachers saw what the doctors could n't bring .	my teachers saw that the doctors could n't bring .
Richard might know who these girls could n't hate .	Richard might know that these girls could n't hate .
this boy has n't noticed who this customer is bothering .	this boy has n't noticed that this customer is bothering .
Stephanie noticed who the dentist liked .	Stephanie noticed that the dentist liked .
Barbara knew who this woman scares .	Barbara knew that this woman scares .
my dad had n't noticed what those girls may sell .	my dad had n't noticed that those girls may sell .
those teachers should remember what that lady is buying .	those teachers should remember that that lady is buying .
that king realized what the women brought .	that king realized that the women brought .
