that guy was fixing those toys .	that guy were fixing those toys .
those boys do yell .	those boys does yell .
this woman has seen the child .	this woman have seen the child .
this doctor has heard this dentist .	this doctor have heard this dentist .
the ladies do break the trucks .	the ladies does break the trucks .
the adult was n't thinking about that window .	the adult were n't thinking about that window .
that king is n't painting .	that king are n't painting .
that dancer does n't listen to that doctor .	that dancer do n't listen to that doctor .
these teachers have talked to that guy .	these teachers has talked to that guy .
the bags were rolling away .	the bags was rolling away .
that dentist has n't talked to the women .	that dentist have n't talked to the women .
the guy does n't take these bowls .	the guy do n't take these bowls .
those bottles do roll away .	those bottles does roll away .
the driver does find these chairs .	the driver do find these chairs .
this toy does roll away .	this toy do roll away .
this child is fixing these chairs .	this child are fixing these chairs .
the plate has n't broken these hats .	the plate have n't broken these hats .
these people have walked through that room .	these people has walked through that room .
that fork has rolled away .	that fork have rolled away .
the doctors have found these toys .	the doctors has found these toys .
this king has n't talked to those women .	this king have n't talked to those women .
that turtle has n't grown .	that turtle have n't grown .
the doctors do sing .	the doctors does sing .
that man has n't laughed .	that man have n't laughed .
these guys do n't sell the plates .	these guys does n't sell the plates .
this car does drop .	this car do drop .
the people do hate that teacher .	the people does hate that teacher .
those girls have n't run around the restaurant .	those girls has n't run around the restaurant .
these spoons have n't broken .	these spoons has n't broken .
the boy is n't screaming .	the boy are n't screaming .
these glasses do drop .	these glasses does drop .
the person was n't visiting that adult .	the person were n't visiting that adult .
these girls have learned .	these girls has learned .
this dish has broken the shoes .	this dish have broken the shoes .
that book does break the mirror .	that book do break the mirror .
the car was dropping .	the car were dropping .
the teacher does n't take the cups .	the teacher do n't take the cups .
those teachers have n't passed that school .	those teachers has n't passed that school .
the woman does break these doors .	the woman do break these doors .
this woman does hear the woman .	this woman do hear the woman .
those buttons do n't move .	those buttons does n't move .
that chair was n't breaking this shoe .	that chair were n't breaking this shoe .
the toy does break .	the toy do break .
these people do eat .	these people does eat .
those doctors have cleaned this picture .	those doctors has cleaned this picture .
the lady has n't visited those guys .	the lady have n't visited those guys .
this adult is n't visiting these guys .	this adult are n't visiting these guys .
those ladies do n't talk .	those ladies does n't talk .
this woman does n't run .	this woman do n't run .
this window has n't moved .	this window have n't moved .
that girl has gone to the room .	that girl have gone to the room .
the person has n't yelled .	the person have n't yelled .
the bag has broken .	the bag have broken .
this bottle is rolling away .	this bottle are rolling away .
the boy is n't breaking those books .	the boy are n't breaking those books .
that patient does n't read .	that patient do n't read .
that girl was lying .	that girl were lying .
the king does n't smile .	the king do n't smile .
that doctor has n't seen the cars .	that doctor have n't seen the cars .
this dish has broken those plates .	this dish have broken those plates .
those teachers were n't lying .	those teachers was n't lying .
the teacher has n't thought about those girls .	the teacher have n't thought about those girls .
that glass has rolled away .	that glass have rolled away .
the toy has moved .	the toy have moved .
those buttons are n't dropping .	those buttons is n't dropping .
those women do scream .	those women does scream .
this person has n't lost this driver .	this person have n't lost this driver .
the dogs do grow .	the dogs does grow .
this horse does grow .	this horse do grow .
those men are n't talking about the person .	those men is n't talking about the person .
the customer does n't drop these candles .	the customer do n't drop these candles .
these men are working with the girls .	these men is working with the girls .
the guy has n't talked to these people .	the guy have n't talked to these people .
the guys were n't growing .	the guys was n't growing .
this glass does n't move .	this glass do n't move .
the men do run around the kitchen .	the men does run around the kitchen .
that bowl has n't dropped .	that bowl have n't dropped .
that driver has n't confused that king .	that driver have n't confused that king .
these children have scared that doctor .	these children has scared that doctor .
that dancer does praise those women .	that dancer do praise those women .
the adult is dropping the toy .	the adult are dropping the toy .
the people have yelled .	the people has yelled .
that boat has dropped .	that boat have dropped .
the spoon does n't break these cups .	the spoon do n't break these cups .
that driver does make the spoons .	that driver do make the spoons .
that ring was n't breaking these doors .	that ring were n't breaking these doors .
the man does n't sell that plate .	the man do n't sell that plate .
the bottles were dropping .	the bottles was dropping .
