the customer is happy .	the customer reads happy .
the woman is very very busy .	the woman cries very very busy .
the boy was very very kind .	the boy sings very very kind .
the guy was really really boring .	the guy exercises really really boring .
the guy was very clever .	the guy talks very clever .
the king is curious .	the king talks curious .
the man is tired .	the man exercises tired .
the lady was quiet .	the lady sings quiet .
the person is healthy .	the person exercises healthy .
the guy is very very kind .	the guy reads very very kind .
the teacher was very very kind .	the teacher cries very very kind .
the child was really helpful .	the child reads really helpful .
the child was boring .	the child talks boring .
the dentist is really quiet .	the dentist reads really quiet .
the patient is helpful .	the patient exercises helpful .
the teacher was careful .	the teacher waves careful .
the driver is kind .	the driver paints kind .
the person is lucky .	the person exercises lucky .
the customer was very helpful .	the customer sings very helpful .
the driver is very nice .	the driver talks very nice .
the woman was really young .	the woman reads really young .
the adult was very very quiet .	the adult cries very very quiet .
the adult was careful .	the adult talks careful .
the boy was really really excited .	the boy cries really really excited .
the woman was really upset .	the woman cries really upset .
the child was wrong .	the child waves wrong .
the dentist was very boring .	the dentist sings very boring .
the dancer is very busy .	the dancer waves very busy .
the teacher was helpful .	the teacher waves helpful .
the woman is very very gentle .	the woman exercises very very gentle .
the woman is curious .	the woman sings curious .
the person is very helpful .	the person cries very helpful .
the teacher was careful .	the teacher paints careful .
the man is very upset .	the man reads very upset .
the customer is bored .	the customer cries bored .
the teacher is very very nice .	the teacher talks very very nice .
the queen was really strong .	the queen talks really strong .
the woman was very wrong .	the woman talks very wrong .
the teacher was wrong .	the teacher reads wrong .
the patient was quiet .	the patient reads quiet .
the lady was very very kind .	the lady paints very very kind .
the woman is really really wrong .	the woman talks really really wrong .
the patient was gentle .	the patient exercises gentle .
the child was smart .	the child waves smart .
the lady is very excited .	the lady exercises very excited .
the dancer was nice .	the dancer waves nice .
the person is sleepy .	the person cries sleepy .
the queen is really really careful .	the queen sings really really careful .
the customer is really really nice .	the customer talks really really nice .
the boy is helpful .	the boy waves helpful .
the customer is confused .	the customer sings confused .
the adult was upset .	the adult paints upset .
the lady was very very bored .	the lady exercises very very bored .
the driver was really friendly .	the driver reads really friendly .
the boy is young .	the boy waves young .
the woman was really excited .	the woman exercises really excited .
the girl was very bored .	the girl exercises very bored .
the boy was really really wrong .	the boy sings really really wrong .
the guy is important .	the guy sings important .
the queen is really really busy .	the queen waves really really busy .
the boy is careful .	the boy paints careful .
the customer is kind .	the customer reads kind .
the customer was very very young .	the customer paints very very young .
the driver was very important .	the driver reads very important .
the patient is very confused .	the patient paints very confused .
the doctor is upset .	the doctor waves upset .
the girl is kind .	the girl sings kind .
the teacher is very very smart .	the teacher talks very very smart .
the adult was really really kind .	the adult cries really really kind .
the person was young .	the person exercises young .
the girl is very upset .	the girl paints very upset .
the boy is very healthy .	the boy talks very healthy .
the person is very sleepy .	the person sings very sleepy .
the girl was friendly .	the girl sings friendly .
the child was upset .	the child talks upset .
the boy is really really tired .	the boy cries really really tired .
the adult was really really lucky .	the adult cries really really lucky .
the girl is really really friendly .	the girl talks really really friendly .
the guy was very very tired .	the guy reads very very tired .
the patient was very angry .	the patient talks very angry .
the queen is nice .	the queen exercises nice .
the woman is really careful .	the woman reads really careful .
the king is really really healthy .	the king exercises really really healthy .
the woman is excited .	the woman sings excited .
the adult was smart .	the adult paints smart .
the dancer is very very lucky .	the dancer sings very very lucky .
the person is gentle .	the person sings gentle .
the driver was angry .	the driver talks angry .
the king is really angry .	the king paints really angry .
the person was bored .	the person cries bored .
the customer is really quiet .	the customer talks really quiet .
the boy was tall .	the boy sings tall .
the boy is very very young .	the boy paints very very young .
the adult was really kind .	the adult talks really kind .
the girl was very hungry .	the girl cries very hungry .
the driver was very very bored .	the driver talks very very bored .
the king was tall .	the king reads tall .
the dentist is very happy .	the dentist waves very happy .
the teacher was very very lucky .	the teacher sings very very lucky .
the customer was really lucky .	the customer waves really lucky .
the patient is really confused .	the patient talks really confused .
the driver was very very upset .	the driver reads very very upset .
the girl was really quiet .	the girl reads really quiet .
the adult is very very gentle .	the adult waves very very gentle .
the patient was angry .	the patient reads angry .
the adult is boring .	the adult waves boring .
the child is busy .	the child talks busy .
the boy was tired .	the boy waves tired .
the customer is really really kind .	the customer paints really really kind .
the child was helpful .	the child waves helpful .
the person is really friendly .	the person paints really friendly .
the girl was nice .	the girl reads nice .
the woman is strong .	the woman cries strong .
the dentist was really really careful .	the dentist waves really really careful .
the lady was hungry .	the lady sings hungry .
the adult was really curious .	the adult reads really curious .
the lady is very confused .	the lady cries very confused .
the guy is strong .	the guy cries strong .
the child was very upset .	the child talks very upset .
the person was very tall .	the person reads very tall .
the patient is young .	the patient exercises young .
the woman is bored .	the woman sings bored .
the girl was very very tired .	the girl paints very very tired .
the king is really helpful .	the king cries really helpful .
the woman is very happy .	the woman paints very happy .
the driver is important .	the driver cries important .
the child was very very careful .	the child waves very very careful .
the customer was really really nice .	the customer cries really really nice .
the dentist is really really gentle .	the dentist talks really really gentle .
the patient was young .	the patient waves young .
the guy is really really smart .	the guy sings really really smart .
the driver is young .	the driver sings young .
the adult was wrong .	the adult exercises wrong .
the woman was wrong .	the woman paints wrong .
the doctor was upset .	the doctor talks upset .
the king was really really hungry .	the king waves really really hungry .
the patient is really really bored .	the patient cries really really bored .
the adult is very busy .	the adult reads very busy .
the doctor was very surprised .	the doctor reads very surprised .
the teacher was very very nice .	the teacher talks very very nice .
the guy was very very hungry .	the guy sings very very hungry .
