what spoon should these boxes know ?	what should these boxes know spoon ?
what patient will those shoes drop ?	what will those shoes drop patient ?
which doctors has this book taken ?	which has this book taken doctors ?
which dish has that bottle taught ?	which has that bottle taught dish ?
which girls were the candles moving ?	which were the candles moving girls ?
what beds will that hospital appreciate ?	what will that hospital appreciate beds ?
what chair had this book bothered ?	what had this book bothered chair ?
which bank are the cars visiting ?	which are the cars visiting bank ?
which crayons had those books helped ?	which had those books helped crayons ?
which boys were these bowls shaking ?	which were these bowls shaking boys ?
what forks can the fork help ?	what can the fork help forks ?
what candles could this school talk to ?	what could this school talk to candles ?
what candle had those beds confused ?	what had those beds confused candle ?
what teachers will the library lose ?	what will the library lose teachers ?
which customer was that shoe moving ?	which was that shoe moving customer ?
which doctor is this school losing ?	which is this school losing doctor ?
which glasses was the bowl visiting ?	which was the bowl visiting glasses ?
which driver had the candle thrown ?	which had the candle thrown driver ?
which doctors was that plate throwing ?	which was that plate throwing doctors ?
what adult will this picture hold ?	what will this picture hold adult ?
what men can the museum keep ?	what can the museum keep men ?
what hospital had this ship helped ?	what had this ship helped hospital ?
which book should the box scare ?	which should the box scare book ?
what trucks are these dishes working with ?	what are these dishes working with trucks ?
which shoe is this cup working with ?	which is this cup working with shoe ?
which ship has this kitchen helped ?	which has this kitchen helped ship ?
which rooms was that ship visiting ?	which was that ship visiting rooms ?
which candles did that bottle bother ?	which did that bottle bother candles ?
which rooms were these hats working with ?	which were these hats working with rooms ?
which plane had these chairs visited ?	which had these chairs visited plane ?
which rooms had this candle talked to ?	which had this candle talked to rooms ?
which window was this bottle talking to ?	which was this bottle talking to window ?
which dancer could that chair sell ?	which could that chair sell dancer ?
what shoe do those dolls worry ?	what do those dolls worry shoe ?
what dishes were these chairs talking to ?	what were these chairs talking to dishes ?
what person was this ship moving ?	what was this ship moving person ?
what guys is that car buying ?	what is that car buying guys ?
which person was this couch throwing ?	which was this couch throwing person ?
which child would these shirts have ?	which would these shirts have child ?
what cups was that box talking to ?	what was that box talking to cups ?
what spoon is the school teaching ?	what is the school teaching spoon ?
what person were those shoes fixing ?	what were those shoes fixing person ?
which door had those candles scared ?	which had those candles scared door ?
what shirt has this ring worried ?	what has this ring worried shirt ?
what adult do those pictures fix ?	what do those pictures fix adult ?
which candles were those schools talking to ?	which were those schools talking to candles ?
what queen should that hospital have ?	what should that hospital have queen ?
which crayon can this cup hear ?	which can this cup hear crayon ?
which person was this cup cleaning ?	which was this cup cleaning person ?
which toy had the trucks scared ?	which had the trucks scared toy ?
which ring has this fork helped ?	which has this fork helped ring ?
what dancer had the mall fixed ?	what had the mall fixed dancer ?
which mirror should the forks talk to ?	which should the forks talk to mirror ?
which child did this bowl lose ?	which did this bowl lose child ?
which boys could this couch have ?	which could this couch have boys ?
which bank were these dishes visiting ?	which were these dishes visiting bank ?
which boy has that dish thrown ?	which has that dish thrown boy ?
what cars did the button work with ?	what did the button work with cars ?
what trucks has that box found ?	what has that box found trucks ?
what ladies is this library taking ?	what is this library taking ladies ?
what room had these dishes heard ?	what had these dishes heard room ?
which hat have the rooms answered ?	which have the rooms answered hat ?
which ship had those trucks helped ?	which had those trucks helped ship ?
what doctors is that crayon keeping ?	what is that crayon keeping doctors ?
what box can those dolls scare ?	what can those dolls scare box ?
which adult could these windows clean ?	which could these windows clean adult ?
which people can the toy drop ?	which can the toy drop people ?
what dentist is this book moving ?	what is this book moving dentist ?
which book was that library listening to ?	which was that library listening to book ?
what teacher are those boats buying ?	what are those boats buying teacher ?
which guy will the rug shake ?	which will the rug shake guy ?
which fork can the doll teach ?	which can the doll teach fork ?
which boy are these hats holding ?	which are these hats holding boy ?
what spoons is the ship talking to ?	what is the ship talking to spoons ?
what rings will these shoes care for ?	what will these shoes care for rings ?
which boys does the shoe lift ?	which does the shoe lift boys ?
which patient were those shoes moving ?	which were those shoes moving patient ?
which library was this chair teaching ?	which was this chair teaching library ?
what person has this boat taken ?	what has this boat taken person ?
what ladies was this chair keeping ?	what was this chair keeping ladies ?
what plate has that crayon heard ?	what has that crayon heard plate ?
which trucks had that room heard ?	which had that room heard trucks ?
what rings have these bottles lost ?	what have these bottles lost rings ?
which bottles did the windows know ?	which did the windows know bottles ?
which teachers is the boat finding ?	which is the boat finding teachers ?
which children have the trucks thrown ?	which have the trucks thrown children ?
which hats was that fork helping ?	which was that fork helping hats ?
which mall has this kitchen worried ?	which has this kitchen worried mall ?
what woman have these schools dropped ?	what have these schools dropped woman ?
what patient had that library lost ?	what had that library lost patient ?
which doctor did the shoes have ?	which did the shoes have doctor ?
which rings has that crayon worried ?	which has that crayon worried rings ?
what bag are the rings bothering ?	what are the rings bothering bag ?
what book did that rug answer ?	what did that rug answer book ?
which bowl has the bed worried ?	which has the bed worried bowl ?
what customer was the couch fixing ?	what was the couch fixing customer ?
what park did those cups understand ?	what did those cups understand park ?
what bottle has the spoon confused ?	what has the spoon confused bottle ?
what queen can that dish fix ?	what can that dish fix queen ?
which dishes have the windows bothered ?	which have the windows bothered dishes ?
what book have those books lost ?	what have those books lost book ?
what dentist would those boxes make ?	what would those boxes make dentist ?
which kitchen would those books appreciate ?	which would those books appreciate kitchen ?
what spoons has this rug heard ?	what has this rug heard spoons ?
what couch has that school heard ?	what has that school heard couch ?
which couch is this shirt helping ?	which is this shirt helping couch ?
which schools is the park helping ?	which is the park helping schools ?
what beds are those cars listening to ?	what are those cars listening to beds ?
what lady has the door lost ?	what has the door lost lady ?
what shirt should those doors scare ?	what should those doors scare shirt ?
which spoons does the library hear ?	which does the library hear spoons ?
which doctor was this restaurant taking ?	which was this restaurant taking doctor ?
which trucks will that car help ?	which will that car help trucks ?
what dentist did these crayons bring ?	what did these crayons bring dentist ?
what buttons were the books helping ?	what were the books helping buttons ?
which boy were those boxes fixing ?	which were those boxes fixing boy ?
what mirror could the bottles help ?	what could the bottles help mirror ?
what girls is the bottle cleaning ?	what is the bottle cleaning girls ?
what trucks have these spoons helped ?	what have these spoons helped trucks ?
what crayon will the hospital understand ?	what will the hospital understand crayon ?
which boy can those glasses hold ?	which can those glasses hold boy ?
which adult are the spoons losing ?	which are the spoons losing adult ?
what dish is this couch teaching ?	what is this couch teaching dish ?
what bowl can this glass know ?	what can this glass know bowl ?
what shoe had these cups lost ?	what had these cups lost shoe ?
which queen is that boat losing ?	which is that boat losing queen ?
what picture had the hats worked with ?	what had the hats worked with picture ?
which people did the dish have ?	which did the dish have people ?
which car have those forks talked to ?	which have those forks talked to car ?
what bowls will those shirts worry ?	what will those shirts worry bowls ?
what girl were the hats cleaning ?	what were the hats cleaning girl ?
which plane had those boats found ?	which had those boats found plane ?
what kitchen is that bowl listening to ?	what is that bowl listening to kitchen ?
what driver does the kitchen lose ?	what does the kitchen lose driver ?
what ladies would these books keep ?	what would these books keep ladies ?
which guys would this crayon buy ?	which would this crayon buy guys ?
which school will this rocket understand ?	which will this rocket understand school ?
what book were the rings bothering ?	what were the rings bothering book ?
what plane have these rings talked to ?	what have these rings talked to plane ?
which doctor are the beds shaking ?	which are the beds shaking doctor ?
which book has this school helped ?	which has this school helped book ?
which book have the schools found ?	which have the schools found book ?
which guys has this bowl dropped ?	which has this bowl dropped guys ?
which children are those bowls moving ?	which are those bowls moving children ?
which bed are these beds working with ?	which are these beds working with bed ?
what plane have those spoons confused ?	what have those spoons confused plane ?
which customer would the boxes fix ?	which would the boxes fix customer ?
what museum would the boxes care for ?	what would the boxes care for museum ?
which teacher were the beds shaking ?	which were the beds shaking teacher ?
what school have those bags heard ?	what have those bags heard school ?
which couch has this kitchen heard ?	which has this kitchen heard couch ?
which bed is the couch teaching ?	which is the couch teaching bed ?
what truck had that plane lost ?	what had that plane lost truck ?
what king will this window fix ?	what will this window fix king ?
which dancer had those forks moved ?	which had those forks moved dancer ?
which hat does the restaurant care for ?	which does the restaurant care for hat ?
which mirror could these windows work with ?	which could these windows work with mirror ?
which man was that window taking ?	which was that window taking man ?
what men was this boat losing ?	what was this boat losing men ?
which shirts has that button heard ?	which has that button heard shirts ?
what women was this ship dropping ?	what was this ship dropping women ?
which bowl would those beds care for ?	which would those beds care for bowl ?
what windows had this museum helped ?	what had this museum helped windows ?
what boats is this hat talking to ?	what is this hat talking to boats ?
which driver are these windows throwing ?	which are these windows throwing driver ?
which girls was the truck moving ?	which was the truck moving girls ?
which women were these boats taking ?	which were these boats taking women ?
which doors would that bank answer ?	which would that bank answer doors ?
which mall had the school confused ?	which had the school confused mall ?
what crayon had the book worked with ?	what had the book worked with crayon ?
what cars will those plates worry ?	what will those plates worry cars ?
which spoons had those rings scared ?	which had those rings scared spoons ?
what person were these buttons cleaning ?	what were these buttons cleaning person ?
what teachers should the hospital have ?	what should the hospital have teachers ?
which bags will this shirt hear ?	which will this shirt hear bags ?
what boats should the pictures hear ?	what should the pictures hear boats ?
which doctors has that cup kept ?	which has that cup kept doctors ?
which women will these bags take ?	which will these bags take women ?
what men was the plate holding ?	what was the plate holding men ?
which girl had the school dropped ?	which had the school dropped girl ?
what teachers was the shoe keeping ?	what was the shoe keeping teachers ?
which crayon have these rings worried ?	which have these rings worried crayon ?
what truck had the library visited ?	what had the library visited truck ?
which driver had that doll brought ?	which had that doll brought driver ?
what bank is the mirror helping ?	what is the mirror helping bank ?
which museum are the bags bothering ?	which are the bags bothering museum ?
which school is that button listening to ?	which is that button listening to school ?
what forks was this bank listening to ?	what was this bank listening to forks ?
what dancer was the button making ?	what was the button making dancer ?
which candle had that truck helped ?	which had that truck helped candle ?
which guy are the dolls taking ?	which are the dolls taking guy ?
what button would the car listen to ?	what would the car listen to button ?
which bag had that rocket worked with ?	which had that rocket worked with bag ?
which patient are the bags buying ?	which are the bags buying patient ?
what teacher had that school fixed ?	what had that school fixed teacher ?
which library did that rocket understand ?	which did that rocket understand library ?
which truck does that ring worry ?	which does that ring worry truck ?
which glass would this candle scare ?	which would this candle scare glass ?
which bicycle are those schools talking to ?	which are those schools talking to bicycle ?
what bed had this hat bothered ?	what had this hat bothered bed ?
which fork does that glass scare ?	which does that glass scare fork ?
what glasses had that cup answered ?	what had that cup answered glasses ?
what chair did those schools hear ?	what did those schools hear chair ?
what dancer are these crayons finding ?	what are these crayons finding dancer ?
what lady had that bowl moved ?	what had that bowl moved lady ?
what ship has the toy visited ?	what has the toy visited ship ?
which chairs did the boxes bother ?	which did the boxes bother chairs ?
which forks are the dishes listening to ?	which are the dishes listening to forks ?
what teachers had that button taken ?	what had that button taken teachers ?
what boys were the dolls shaking ?	what were the dolls shaking boys ?
which patient is the fork losing ?	which is the fork losing patient ?
what box did the shoes listen to ?	what did the shoes listen to box ?
what room had the rug talked to ?	what had the rug talked to room ?
what men were the toys buying ?	what were the toys buying men ?
which doctors had this room thrown ?	which had this room thrown doctors ?
what man will the dish make ?	what will the dish make man ?
what patient can these bottles lose ?	what can these bottles lose patient ?
which bowls were these rings working with ?	which were these rings working with bowls ?
which bags could the museum visit ?	which could the museum visit bags ?
which mall could these cars praise ?	which could these cars praise mall ?
what rocket have the boxes taught ?	what have the boxes taught rocket ?
which doctors had the pictures brought ?	which had the pictures brought doctors ?
which men should the schools sell ?	which should the schools sell men ?
what kitchen has the bowl worried ?	what has the bowl worried kitchen ?
which doctors could that doll keep ?	which could that doll keep doctors ?
which bags had this cup worried ?	which had this cup worried bags ?
which girl is the crayon keeping ?	which is the crayon keeping girl ?
which ring had the books bothered ?	which had the books bothered ring ?
which room have those dishes found ?	which have those dishes found room ?
which buttons would that room visit ?	which would that room visit buttons ?
what spoon could these toys understand ?	what could these toys understand spoon ?
which hats have those boats visited ?	which have those boats visited hats ?
which bottles had the museum talked to ?	which had the museum talked to bottles ?
which museum had this picture found ?	which had this picture found museum ?
which windows should this picture worry ?	which should this picture worry windows ?
which guys can the hospital drop ?	which can the hospital drop guys ?
which hospital had those crayons worked with ?	which had those crayons worked with hospital ?
which ring were the boats teaching ?	which were the boats teaching ring ?
which shirt does this library scare ?	which does this library scare shirt ?
what teachers were those books bringing ?	what were those books bringing teachers ?
what woman had this rocket bought ?	what had this rocket bought woman ?
which bicycle have those beds found ?	which have those beds found bicycle ?
which hats could that car understand ?	which could that car understand hats ?
what spoons did these cars appreciate ?	what did these cars appreciate spoons ?
what woman do those crayons make ?	what do those crayons make woman ?
what dish could this rocket bother ?	what could this rocket bother dish ?
what hat should the plates help ?	what should the plates help hat ?
what car was the mall talking to ?	what was the mall talking to car ?
what dancer should the mall bring ?	what should the mall bring dancer ?
which dancer were these pictures dropping ?	which were these pictures dropping dancer ?
which school had the dish worked with ?	which had the dish worked with school ?
what forks can that toy hear ?	what can that toy hear forks ?
what candle had this boat visited ?	what had this boat visited candle ?
what hats has this crayon heard ?	what has this crayon heard hats ?
what boat do those shoes know ?	what do those shoes know boat ?
what doctors were those forks holding ?	what were those forks holding doctors ?
what people had those candles cleaned ?	what had those candles cleaned people ?
what dishes was this cup teaching ?	what was this cup teaching dishes ?
which trucks was that park teaching ?	which was that park teaching trucks ?
which ring had the bank scared ?	which had the bank scared ring ?
which park will those schools visit ?	which will those schools visit park ?
what woman was that park losing ?	what was that park losing woman ?
which spoon was this park talking to ?	which was this park talking to spoon ?
which child should the library have ?	which should the library have child ?
which crayons could the cars care for ?	which could the cars care for crayons ?
which plate has that museum heard ?	which has that museum heard plate ?
what bag would the forks bother ?	what would the forks bother bag ?
which king are these beds dropping ?	which are these beds dropping king ?
what girls had the picture kept ?	what had the picture kept girls ?
which girls had the toy held ?	which had the toy held girls ?
which bag had these bags worried ?	which had these bags worried bag ?
which bottles has the bed visited ?	which has the bed visited bottles ?
what boat would the rug visit ?	what would the rug visit boat ?
what adult can these books have ?	what can these books have adult ?
what school had those boats visited ?	what had those boats visited school ?
what driver had those boxes thrown ?	what had those boxes thrown driver ?
what glasses would that bowl worry ?	what would that bowl worry glasses ?
which glasses do the schools understand ?	which do the schools understand glasses ?
which girls did these cups take ?	which did these cups take girls ?
what bottle can that bag hear ?	what can that bag hear bottle ?
what candles do those candles work with ?	what do those candles work with candles ?
which dancer did this toy keep ?	which did this toy keep dancer ?
what patient were those beds bringing ?	what were those beds bringing patient ?
which school has the mirror taught ?	which has the mirror taught school ?
what people can this toy sell ?	what can this toy sell people ?
what boat had that book heard ?	what had that book heard boat ?
which cars have these bowls answered ?	which have these bowls answered cars ?
what woman does this bed find ?	what does this bed find woman ?
what fork have those cups lost ?	what have those cups lost fork ?
what mall were the books helping ?	what were the books helping mall ?
what ladies do the schools have ?	what do the schools have ladies ?
which men was the box bringing ?	which was the box bringing men ?
which crayon was this dish talking to ?	which was this dish talking to crayon ?
which box is the shoe listening to ?	which is the shoe listening to box ?
which book could that boat visit ?	which could that boat visit book ?
what crayon had this mirror helped ?	what had this mirror helped crayon ?
what woman does the room take ?	what does the room take woman ?
what king will the rug make ?	what will the rug make king ?
what doll was that cup visiting ?	what was that cup visiting doll ?
what boat have the beds helped ?	what have the beds helped boat ?
what boy have the shoes taken ?	what have the shoes taken boy ?
what man were those rings holding ?	what were those rings holding man ?
which bottle can the rug know ?	which can the rug know bottle ?
which cars should the shoe hear ?	which should the shoe hear cars ?
which door are these cars listening to ?	which are these cars listening to door ?
what lady is the bottle shaking ?	what is the bottle shaking lady ?
what park had the forks worried ?	what had the forks worried park ?
what bag could the crayons help ?	what could the crayons help bag ?
what king should that bank bring ?	what should that bank bring king ?
what doors would this hospital hear ?	what would this hospital hear doors ?
what boxes would these forks know ?	what would these forks know boxes ?
what toy are those bags listening to ?	what are those bags listening to toy ?
which women had the ring fixed ?	which had the ring fixed women ?
which king could this park take ?	which could this park take king ?
which men had the doors dropped ?	which had the doors dropped men ?
which boy had those bags taken ?	which had those bags taken boy ?
what ladies is this museum holding ?	what is this museum holding ladies ?
what library will these plates hear ?	what will these plates hear library ?
which cars has the spoon lost ?	which has the spoon lost cars ?
what girl was this chair making ?	what was this chair making girl ?
what toy will these candles teach ?	what will these candles teach toy ?
what shirt are these boats talking to ?	what are these boats talking to shirt ?
what hat did that car care for ?	what did that car care for hat ?
what girl are these bowls making ?	what are these bowls making girl ?
what adult had those windows held ?	what had those windows held adult ?
which window could that rug visit ?	which could that rug visit window ?
which dancer have these plates lost ?	which have these plates lost dancer ?
what boy has that button kept ?	what has that button kept boy ?
what car can the beds talk to ?	what can the beds talk to car ?
what pictures had the bed visited ?	what had the bed visited pictures ?
what child can the bag find ?	what can the bag find child ?
which box can this library know ?	which can this library know box ?
which candle should the restaurant bother ?	which should the restaurant bother candle ?
which ship has this mall heard ?	which has this mall heard ship ?
which candle was that rug visiting ?	which was that rug visiting candle ?
what teacher is this fork losing ?	what is this fork losing teacher ?
which book will the candles help ?	which will the candles help book ?
which cup do these glasses answer ?	which do these glasses answer cup ?
which ladies had this bank moved ?	which had this bank moved ladies ?
which boy is the bag taking ?	which is the bag taking boy ?
what glasses has the bowl taught ?	what has the bowl taught glasses ?
what dentist can this ship throw ?	what can this ship throw dentist ?
which patient was the candle dropping ?	which was the candle dropping patient ?
what men would the chairs move ?	what would the chairs move men ?
which teachers could the mirror shake ?	which could the mirror shake teachers ?
which adult are those dishes taking ?	which are those dishes taking adult ?
which girls does the rocket lose ?	which does the rocket lose girls ?
what girls has the mirror moved ?	what has the mirror moved girls ?
what children will that museum clean ?	what will that museum clean children ?
which teacher is this room making ?	which is this room making teacher ?
what guys had this mall found ?	what had this mall found guys ?
what library should the restaurant work with ?	what should the restaurant work with library ?
which bicycle does the restaurant know ?	which does the restaurant know bicycle ?
what fork had those shirts worked with ?	what had those shirts worked with fork ?
which cars had these hats heard ?	which had these hats heard cars ?
which ring is that fork bothering ?	which is that fork bothering ring ?
which man did the restaurant fix ?	which did the restaurant fix man ?
what candle do those pictures bother ?	what do those pictures bother candle ?
which people is this truck finding ?	which is this truck finding people ?
what door have the cars heard ?	what have the cars heard door ?
which spoons had these spoons visited ?	which had these spoons visited spoons ?
which shirt has that cup scared ?	which has that cup scared shirt ?
which boy could this library shake ?	which could this library shake boy ?
what cups are the candles visiting ?	what are the candles visiting cups ?
which toys are these hats talking to ?	which are these hats talking to toys ?
what queen were these hats fixing ?	what were these hats fixing queen ?
which couch have these spoons visited ?	which have these spoons visited couch ?
what dancer was that boat fixing ?	what was that boat fixing dancer ?
which dancer had the cup lost ?	which had the cup lost dancer ?
what trucks did the window know ?	what did the window know trucks ?
what picture could the shoes worry ?	what could the shoes worry picture ?
which forks had that mirror taught ?	which had that mirror taught forks ?
what customer was the mall dropping ?	what was the mall dropping customer ?
which car was the dish helping ?	which was the dish helping car ?
which lady have those shirts kept ?	which have those shirts kept lady ?
what couch were these dishes working with ?	what were these dishes working with couch ?
