these people have passed that hospital .	have passed that hospital these people .
that king found these teachers .	found these teachers that king .
these ladies went to those schools .	went to those schools these ladies .
this child bought these dolls .	bought these dolls this child .
those women were n't walking through this museum .	were n't walking through this museum those women .
these people looked like that dog .	looked like that dog these people .
these guys saw the people .	saw the people these guys .
these people bring the rocket .	bring the rocket these people .
these people take those doors .	take those doors these people .
that king ran around the school .	ran around the school that king .
those candles broke this glass .	broke this glass those candles .
these turtles forget the book .	forget the book these turtles .
the dancer made that rug .	made that rug the dancer .
that hamster likes this person .	likes this person that hamster .
the mouse breaks this book .	breaks this book the mouse .
those ladies were driving to this hospital .	were driving to this hospital those ladies .
the bags wo n't break these glasses .	wo n't break these glasses the bags .
those people were losing the bottles .	were losing the bottles those people .
the girls helped the guys .	helped the guys the girls .
this customer breaks those cars .	breaks those cars this customer .
this child would n't clean this ship .	would n't clean this ship this child .
those children love the people .	love the people those children .
those people are n't teaching these children .	are n't teaching these children those people .
those ladies have visited that king .	have visited that king those ladies .
those doctors are working with the boys .	are working with the boys those doctors .
these doctors do n't have the bottle .	do n't have the bottle these doctors .
the driver had heard this guy .	had heard this guy the driver .
the boy knows this doctor .	knows this doctor the boy .
those girls had seen these shoes .	had seen these shoes those girls .
that book has broken that fork .	has broken that fork that book .
the windows are n't breaking the bed .	are n't breaking the bed the windows .
that driver looks like those people .	looks like those people that driver .
these people should n't hold the truck .	should n't hold the truck these people .
these doctors have noticed the couch .	have noticed the couch these doctors .
this girl brings the glasses .	brings the glasses this girl .
those women do n't break the truck .	do n't break the truck those women .
that driver saw the cars .	saw the cars that driver .
these cats break that window .	break that window these cats .
that dentist can n't worry the boys .	can n't worry the boys that dentist .
this cat could n't hate the shoes .	could n't hate the shoes this cat .
this dentist had taught that girl .	had taught that girl this dentist .
this child lost that customer .	lost that customer this child .
that person can go to that library .	can go to that library that person .
this plane broke that toy .	broke that toy this plane .
that child could n't buy this spoon .	could n't buy this spoon that child .
these guys can work with the woman .	can work with the woman these guys .
the teacher should make that doll .	should make that doll the teacher .
that woman had n't dropped the candle .	had n't dropped the candle that woman .
these doctors may break these rings .	may break these rings these doctors .
this guy takes those cars .	takes those cars this guy .
these cats did n't hate that couch .	did n't hate that couch these cats .
this girl sees this bicycle .	sees this bicycle this girl .
that couch has broken this ring .	has broken this ring that couch .
the shirts were n't breaking the car .	were n't breaking the car the shirts .
that dancer had n't taken the bags .	had n't taken the bags that dancer .
that queen should fix the forks .	should fix the forks that queen .
those guys see that person .	see that person those guys .
this girl is n't thinking about this book .	is n't thinking about this book this girl .
the driver has talked about those spoons .	has talked about those spoons the driver .
this adult brought this doll .	brought this doll this adult .
the horse had remembered that mouse .	had remembered that mouse the horse .
those ladies love this truck .	love this truck those ladies .
this lady has n't bothered this adult .	has n't bothered this adult this lady .
that rabbit might like those cats .	might like those cats that rabbit .
those ladies know this hamster .	know this hamster those ladies .
these teachers were n't bringing the boxes .	were n't bringing the boxes these teachers .
those people teach these children .	teach these children those people .
those guys will know the girl .	will know the girl those guys .
this queen was n't dropping this boat .	was n't dropping this boat this queen .
that doctor had remembered that customer .	had remembered that customer that doctor .
the customer ran around that park .	ran around that park the customer .
that customer might look like the horses .	might look like the horses that customer .
that man will see that bicycle .	will see that bicycle that man .
this customer is n't working with this dancer .	is n't working with this dancer this customer .
the people heard this cat .	heard this cat the people .
these children dropped the plate .	dropped the plate these children .
the dancer worked with this girl .	worked with this girl the dancer .
the people could n't see the door .	could n't see the door the people .
this patient held this bag .	held this bag this patient .
these boys noticed the person .	noticed the person these boys .
this dancer cleaned these spoons .	cleaned these spoons this dancer .
these men should buy the bicycle .	should buy the bicycle these men .
the child breaks the plate .	breaks the plate the child .
the queen could n't visit this doctor .	could n't visit this doctor the queen .
the bicycle broke this window .	broke this window the bicycle .
the person is n't listening to those children .	is n't listening to those children the person .
the king does n't bring these beds .	does n't bring these beds the king .
these turtles are n't breaking these rings .	are n't breaking these rings these turtles .
these doors broke these boats .	broke these boats these doors .
these boxes should n't break these dishes .	should n't break these dishes these boxes .
those doors had n't broken the couch .	had n't broken the couch those doors .
the ladies were n't talking about this plate .	were n't talking about this plate the ladies .
those doctors lost the adult .	lost the adult those doctors .
this girl scares the teacher .	scares the teacher this girl .
this lady took the cup .	took the cup this lady .
these books had broken these dishes .	had broken these dishes these books .
the guys passed that hospital .	passed that hospital the guys .
that patient took this shoe .	took this shoe that patient .
the bowl has broken those glasses .	has broken those glasses the bowl .
the crayon should break these books .	should break these books the crayon .
that customer has n't gone to this school .	has n't gone to this school that customer .
the driver taught this dentist .	taught this dentist the driver .
those turtles have n't thought about those dogs .	have n't thought about those dogs those turtles .
the dancer had n't held the window .	had n't held the window the dancer .
the dentist sounds like this doctor .	sounds like this doctor the dentist .
those children can notice these shirts .	can notice these shirts those children .
these men like these mice .	like these mice these men .
the dogs break the truck .	break the truck the dogs .
the people walked through that kitchen .	walked through that kitchen the people .
the doctors talk to the man .	talk to the man the doctors .
these turtles must forget the crayon .	must forget the crayon these turtles .
these teachers forgot that doll .	forgot that doll these teachers .
that man had n't worried that king .	had n't worried that king that man .
the queen worked with these women .	worked with these women the queen .
that shirt did n't break the cups .	did n't break the cups that shirt .
those children worked with that doctor .	worked with that doctor those children .
this adult has n't thought about the pictures .	has n't thought about the pictures this adult .
this guy had n't scared those women .	had n't scared those women this guy .
the children moved the chair .	moved the chair the children .
this boy is n't helping these women .	is n't helping these women this boy .
that button had n't broken the book .	had n't broken the book that button .
these girls have n't dropped those boats .	have n't dropped those boats these girls .
that snake might hate the plane .	might hate the plane that snake .
the lady bought the chair .	bought the chair the lady .
those teachers could n't take that couch .	could n't take that couch those teachers .
that king loved those boats .	loved those boats that king .
these children went to that restaurant .	went to that restaurant these children .
the boy had talked about the cats .	had talked about the cats the boy .
this teacher is n't talking about that bed .	is n't talking about that bed this teacher .
the dancer sounded like that cat .	sounded like that cat the dancer .
the guys have heard that dancer .	have heard that dancer the guys .
the lady saw that truck .	saw that truck the lady .
that dentist has bought that book .	has bought that book that dentist .
that doctor forgot the book .	forgot the book that doctor .
the men forgot the bowl .	forgot the bowl the men .
this woman was n't buying these spoons .	was n't buying these spoons this woman .
the boys may shake the cars .	may shake the cars the boys .
that queen left the museum .	left the museum that queen .
that person looked like that hamster .	looked like that hamster that person .
the women knew that dentist .	knew that dentist the women .
these people clean the cars .	clean the cars these people .
the doctor knew this woman .	knew this woman the doctor .
the cars broke this ship .	broke this ship the cars .
the adult has n't cleaned the plate .	has n't cleaned the plate the adult .
that lady must worry those people .	must worry those people that lady .
the woman brings these shirts .	brings these shirts the woman .
the child has worried these doctors .	has worried these doctors the child .
that teacher went to these schools .	went to these schools that teacher .
the boys should clean these cars .	should clean these cars the boys .
that woman did n't lose the bowls .	did n't lose the bowls that woman .
the king may answer these doctors .	may answer these doctors the king .
those men forgot that bicycle .	forgot that bicycle those men .
