the king drives to these schools .	the king drive to these schools .
these girls run .	these girls runs .
these windows move .	these windows moves .
this queen grows .	this queen grow .
the guy exercises .	the guy exercise .
this lady leaves that room .	this lady leave that room .
this fork rolls away .	this fork roll away .
those dishes move .	those dishes moves .
the doctor reads .	the doctor read .
that guy thinks about this bird .	that guy think about this bird .
these boys talk .	these boys talks .
that adult looks like that child .	that adult look like that child .
this snake breaks the boats .	this snake break the boats .
that girl paints .	that girl paint .
these teachers talk to those people .	these teachers talks to those people .
this doctor shakes that book .	this doctor shake that book .
this teacher goes to the bank .	this teacher go to the bank .
the boy walks through that restaurant .	the boy walk through that restaurant .
the driver reads .	the driver read .
this couch rolls away .	this couch roll away .
the ladies read .	the ladies reads .
those buttons break .	those buttons breaks .
those people see those people .	those people sees those people .
those snakes eat .	those snakes eats .
that queen takes this bowl .	that queen take this bowl .
this button moves .	this button move .
that driver brings these bags .	that driver bring these bags .
that patient talks about that truck .	that patient talk about that truck .
those trucks drop .	those trucks drops .
this bowl drops .	this bowl drop .
these forks move .	these forks moves .
this king shakes these cars .	this king shake these cars .
that driver drops that bowl .	that driver drop that bowl .
that dentist understands the lady .	that dentist understand the lady .
that guy eats .	that guy eat .
this woman talks about these doctors .	this woman talk about these doctors .
this girl runs .	this girl run .
that woman has those shoes .	that woman have those shoes .
the dish drops .	the dish drop .
these ladies sound like the guy .	these ladies sounds like the guy .
the king holds the spoon .	the king hold the spoon .
that king goes to this library .	that king go to this library .
this ship drops .	this ship drop .
the queen sees these ladies .	the queen see these ladies .
that woman likes this man .	that woman like this man .
that plate breaks those bowls .	that plate break those bowls .
those hats drop .	those hats drops .
the child breaks this window .	the child break this window .
these ladies leave this school .	these ladies leaves this school .
these children break these dishes .	these children breaks these dishes .
those people exercise .	those people exercises .
these children sound like the mice .	these children sounds like the mice .
these pictures break .	these pictures breaks .
the child holds this couch .	the child hold this couch .
that man eats .	that man eat .
this candle moves .	this candle move .
the fork moves .	the fork move .
the ladies sound like that king .	the ladies sounds like that king .
the forks break this book .	the forks breaks this book .
those men hear the man .	those men hears the man .
that cat breaks this bed .	that cat break this bed .
the turtle eats .	the turtle eat .
that lady leaves this museum .	that lady leave this museum .
those beds move .	those beds moves .
this queen talks to the child .	this queen talk to the child .
those toys break .	those toys breaks .
the dentist waves .	the dentist wave .
that child drives to the bank .	that child drive to the bank .
the customer sees this spoon .	the customer see this spoon .
the man understands this teacher .	the man understand this teacher .
these birds like the king .	these birds likes the king .
the queen runs .	the queen run .
that boy hears that mouse .	that boy hear that mouse .
the boys sing .	the boys sings .
that doctor understands that man .	that doctor understand that man .
these books break the bottle .	these books breaks the bottle .
the horse grows .	the horse grow .
this man eats .	this man eat .
the driver hears those girls .	the driver hear those girls .
that driver waves .	that driver wave .
the ladies make the cups .	the ladies makes the cups .
the person helps that king .	the person help that king .
the dancer sounds like that patient .	the dancer sound like that patient .
the books move .	the books moves .
those doors roll away .	those doors rolls away .
the fork breaks .	the fork break .
this rabbit thinks about those hats .	this rabbit think about those hats .
these children work with this lady .	these children works with this lady .
that teacher works with the customer .	that teacher work with the customer .
the boy walks through the kitchen .	the boy walk through the kitchen .
that girl cries .	that girl cry .
the shirts break those books .	the shirts breaks those books .
this dancer helps that man .	this dancer help that man .
these boys love the cars .	these boys loves the cars .
that guy breaks those rings .	that guy break those rings .
those dolls break that glass .	those dolls breaks that glass .
that boat breaks that dish .	that boat break that dish .
the customer helps that driver .	the customer help that driver .
that man understands this adult .	that man understand this adult .
