the bag is really really important .	the bag sings really really important .
the hat was very surprised .	the hat waves very surprised .
the doll is very very happy .	the doll reads very very happy .
the book was careful .	the book cries careful .
the shirt is very wrong .	the shirt waves very wrong .
the candle was careful .	the candle exercises careful .
the truck was really strong .	the truck talks really strong .
the cup was very quiet .	the cup cries very quiet .
the hat was very boring .	the hat cries very boring .
the book is very gentle .	the book exercises very gentle .
the toy was very sleepy .	the toy talks very sleepy .
the rocket was helpful .	the rocket exercises helpful .
the truck was very very confused .	the truck sings very very confused .
the glass was very very confused .	the glass waves very very confused .
the dish is very very boring .	the dish cries very very boring .
the plane is very confused .	the plane exercises very confused .
the bag is really really important .	the bag cries really really important .
the bowl is surprised .	the bowl exercises surprised .
the mirror is happy .	the mirror sings happy .
the door was really boring .	the door cries really boring .
the shoe is hungry .	the shoe paints hungry .
the book is very important .	the book paints very important .
the spoon is excited .	the spoon reads excited .
the ring was very bored .	the ring cries very bored .
the toy was really really angry .	the toy sings really really angry .
the car is very very helpful .	the car reads very very helpful .
the car was nice .	the car cries nice .
the book is really sleepy .	the book cries really sleepy .
the crayon was smart .	the crayon reads smart .
the toy is really really healthy .	the toy waves really really healthy .
the shoe was helpful .	the shoe paints helpful .
the car was really helpful .	the car waves really helpful .
the rocket was really really confused .	the rocket talks really really confused .
the hat was tall .	the hat waves tall .
the candle was really really kind .	the candle waves really really kind .
the toy is really helpful .	the toy reads really helpful .
the plane is very kind .	the plane cries very kind .
the shoe is very young .	the shoe cries very young .
the ship was very bored .	the ship exercises very bored .
the door was really surprised .	the door paints really surprised .
the fork is very surprised .	the fork reads very surprised .
the rug was really sleepy .	the rug waves really sleepy .
the fork was very very young .	the fork cries very very young .
the ring was very surprised .	the ring sings very surprised .
the plane was friendly .	the plane exercises friendly .
the ship was really really hungry .	the ship reads really really hungry .
the shirt is bored .	the shirt waves bored .
the crayon is really helpful .	the crayon talks really helpful .
the ring was very careful .	the ring talks very careful .
the bowl was really really careful .	the bowl waves really really careful .
the rug was really confused .	the rug sings really confused .
the book was very kind .	the book sings very kind .
the cup was very helpful .	the cup reads very helpful .
the doll was nice .	the doll sings nice .
the glass was really really careful .	the glass reads really really careful .
the shoe was happy .	the shoe waves happy .
the truck was really really clever .	the truck waves really really clever .
the candle was tired .	the candle paints tired .
the rug was really happy .	the rug paints really happy .
the spoon is really really clever .	the spoon waves really really clever .
the window was sleepy .	the window cries sleepy .
the truck is very very angry .	the truck waves very very angry .
the bottle is really tall .	the bottle reads really tall .
the door was really really careful .	the door reads really really careful .
the mirror was happy .	the mirror paints happy .
the spoon is confused .	the spoon exercises confused .
the plane was really hungry .	the plane cries really hungry .
the plate was very very young .	the plate reads very very young .
the bed is very very wrong .	the bed exercises very very wrong .
the book was really really clever .	the book cries really really clever .
the doll was really important .	the doll cries really important .
the crayon is very confused .	the crayon talks very confused .
the mirror is strong .	the mirror exercises strong .
the plane was very curious .	the plane paints very curious .
the glass is surprised .	the glass reads surprised .
the box is nice .	the box paints nice .
the hat was really sleepy .	the hat paints really sleepy .
the car was really really upset .	the car paints really really upset .
the candle is very quiet .	the candle reads very quiet .
the spoon was really helpful .	the spoon talks really helpful .
the car was very very tall .	the car exercises very very tall .
the bottle was really really careful .	the bottle cries really really careful .
the ring is really really young .	the ring waves really really young .
the toy was lucky .	the toy waves lucky .
the ship was helpful .	the ship paints helpful .
the truck was really busy .	the truck cries really busy .
the window was very very young .	the window paints very very young .
the picture was very very helpful .	the picture exercises very very helpful .
the picture is really surprised .	the picture talks really surprised .
the rug was surprised .	the rug talks surprised .
the book was important .	the book waves important .
the bed was very helpful .	the bed waves very helpful .
the bottle is really really wrong .	the bottle waves really really wrong .
the crayon was strong .	the crayon waves strong .
the boat is really nice .	the boat talks really nice .
the fork is important .	the fork talks important .
the candle is very very tired .	the candle reads very very tired .
the toy was very very bored .	the toy exercises very very bored .
the box is really important .	the box waves really important .
the window was really really young .	the window exercises really really young .
the candle is really gentle .	the candle reads really gentle .
the car was very very nice .	the car exercises very very nice .
the rug was very clever .	the rug talks very clever .
the window is helpful .	the window sings helpful .
the window was very helpful .	the window cries very helpful .
the toy was really happy .	the toy waves really happy .
the plane was really sleepy .	the plane paints really sleepy .
the rocket was quiet .	the rocket talks quiet .
the crayon is really really healthy .	the crayon reads really really healthy .
the bag was lucky .	the bag waves lucky .
the bicycle is really really curious .	the bicycle talks really really curious .
the box is very very happy .	the box cries very very happy .
the shoe was strong .	the shoe talks strong .
the rocket was really busy .	the rocket sings really busy .
the hat was really clever .	the hat cries really clever .
the chair is very lucky .	the chair reads very lucky .
the picture is wrong .	the picture exercises wrong .
the shoe was very quiet .	the shoe waves very quiet .
the candle was very important .	the candle exercises very important .
the bowl is very hungry .	the bowl reads very hungry .
the bottle was happy .	the bottle sings happy .
the book was really really healthy .	the book reads really really healthy .
the door was very very surprised .	the door exercises very very surprised .
the couch is really friendly .	the couch cries really friendly .
the cup was very very important .	the cup exercises very very important .
the spoon is really sleepy .	the spoon waves really sleepy .
the ring is very very excited .	the ring talks very very excited .
the bag is very very tired .	the bag waves very very tired .
the chair is very sleepy .	the chair paints very sleepy .
the chair is very young .	the chair cries very young .
the chair is really smart .	the chair waves really smart .
the bag was healthy .	the bag waves healthy .
the spoon is really young .	the spoon waves really young .
the chair was really really kind .	the chair paints really really kind .
the cup is really really sleepy .	the cup talks really really sleepy .
the fork was very very kind .	the fork talks very very kind .
the ring was important .	the ring waves important .
the boat was confused .	the boat reads confused .
the button was really really gentle .	the button waves really really gentle .
the plane is very lucky .	the plane talks very lucky .
the shoe is really healthy .	the shoe exercises really healthy .
the shoe was really lucky .	the shoe talks really lucky .
the glass is really really wrong .	the glass talks really really wrong .
the door was very sleepy .	the door exercises very sleepy .
the bowl is bored .	the bowl paints bored .
the spoon is very very lucky .	the spoon waves very very lucky .
the bed was really really quiet .	the bed cries really really quiet .
the doll was really upset .	the doll paints really upset .
the shirt is really really angry .	the shirt reads really really angry .
the bowl is young .	the bowl talks young .
the book is very angry .	the book paints very angry .
the car was very very strong .	the car paints very very strong .
the dish was very very excited .	the dish waves very very excited .
the rocket is very sleepy .	the rocket paints very sleepy .
the picture was really really curious .	the picture waves really really curious .
the doll is very healthy .	the doll exercises very healthy .
the book is tired .	the book waves tired .
the plane was excited .	the plane talks excited .
the picture is very very surprised .	the picture cries very very surprised .
the rug is very hungry .	the rug talks very hungry .
the bag was very lucky .	the bag paints very lucky .
the chair is very tired .	the chair talks very tired .
the chair was really surprised .	the chair waves really surprised .
the book was very important .	the book reads very important .
the rug is friendly .	the rug sings friendly .
the bowl is very bored .	the bowl exercises very bored .
the rug is very very hungry .	the rug paints very very hungry .
the bag was very nice .	the bag waves very nice .
the boat was young .	the boat sings young .
the ring was very very confused .	the ring cries very very confused .
the dish was very very friendly .	the dish talks very very friendly .
the bowl was really really surprised .	the bowl paints really really surprised .
the toy is boring .	the toy cries boring .
